run_id,polymer_id,reference_polymer_id,objective_loglinear_main,objective_loglinear_main_exp,abs0_vs_solvent_control,fog_vs_solvent_control,fog_sem,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,solvent_group,solvent_control_polymer_id,use_for_bo,rank_objective_loglinear_main
260209-2,GOx,GOX,0.0,1.0,1.0,1.0,,1.0,14.797142857142854,14.797142857142854,14.797142857142854,1.0,22.44963412199322,PBS,GOx,True,1
260209-2,PMBTA-11,GOX,-0.03499632631930438,0.9656089635900597,1.8075561562721247,0.5342068960012376,,0.5342068960012376,26.746666666666663,14.797142857142854,14.797142857142854,1.8075561562721247,11.992749360673468,PBS,GOx,True,2
260209-2,PMBTA-4,GOX,-0.12617270969805727,0.8814625964973541,1.9003668661903848,0.4638381210383861,,0.4638381210383861,28.12,14.797142857142854,14.797142857142854,1.9003668661903848,10.412996109144574,PBS,GOx,True,3
260209-2,PMBTA-1,GOX,-0.14173275783005723,0.8678531524579971,1.825802922057025,0.47532685043588263,,0.47532685043588263,27.01666666666666,14.797142857142854,14.797142857142854,1.825802922057025,10.670913880644958,ETOH,GOx,True,4
260209-2,GOx with DMSO,GOX,-0.1509535215236154,0.8598876639989188,1.691768037587694,0.5082775208503405,,0.5082775208503405,25.033333333333328,14.797142857142854,14.797142857142854,1.691768037587694,11.410644375523924,PBS,GOx,True,5
260209-2,PMBTA-5,GOX,-0.1887208222102641,0.8280176385639869,1.8825706378322713,0.4398335031494099,,0.4398335031494099,27.85666666666666,14.797142857142854,14.797142857142854,1.8825706378322713,9.874101220298805,PBS,GOx,True,6
260209-2,PMBTA-9,GOX,-0.17924715995930007,0.8358992730329037,1.775793267683594,0.47071879832232927,,0.47071879832232927,26.27666666666666,14.797142857142854,14.797142857142854,1.775793267683594,10.567464796680609,PBS,GOx,True,7
260209-2,PMBTA-3,GOX,-0.19891663848771302,0.8196182150990918,1.5514578103881056,0.5282890772866455,,0.5282890772866455,22.95714285714285,14.797142857142854,14.797142857142854,1.5514578103881056,11.859896495730592,PBS,GOx,True,8
260209-2,PMBTA-2,GOX,-0.26880839881276974,0.7642896804303282,2.132393640986033,0.35841866423730073,,0.35841866423730073,31.553333333333324,14.797142857142854,14.797142857142854,2.132393640986033,8.046367874620937,PBS,GOx,True,9
260209-2,PMBTA-6,GOX,-0.2626585660981281,0.769004416670646,1.7191220956426594,0.4473239094650628,,0.4473239094650628,25.43809523809523,14.797142857142854,14.797142857142854,1.7191220956426594,10.04225810151028,PBS,GOx,True,10
260209-2,PMBTA-7,GOX,-0.2958239960620366,0.7439183490574899,1.8839222501126338,0.39487741546287985,,0.39487741546287985,27.87666666666665,14.797142857142854,14.797142857142854,1.8839222501126338,8.864853500179962,PBS,GOx,True,11
260209-2,PMBTA-8,GOX,-0.3418729423477471,0.7104384656183979,1.7643045633005088,0.40267337079793686,,0.40267337079793686,26.106666666666666,14.797142857142854,14.797142857142854,1.7643045633005088,9.039869845083391,PBS,GOx,True,12
260209-2,PMPC,GOX,-0.3737910619516155,0.6881206714001697,1.0357855441848491,0.6643466644842128,,0.6643466644842128,15.326666666666664,14.797142857142854,14.797142857142854,1.0357855441848491,14.914339547837164,ETOH,GOx,True,13
260209-2,PMBTA-10,GOX,-0.49816949881990746,0.6076419315829367,0.8012837391095745,0.758335533250903,,0.758335533250903,11.856709956709958,14.797142857142854,14.797142857142854,0.8012837391095745,17.024355263189396,PBS,GOx,True,14
260209-2,PMTAC,GOX,-0.6387347041272581,0.527960027239635,1.0305963184655982,0.5122859627770527,,0.5122859627770527,15.249880952380948,14.797142857142854,14.797142857142854,1.0305963184655982,11.500632430177872,PBS,GOx,True,15
