run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260209-2,GOx,GOX,1.0,,8.716269841269845,8.716269841269845,same_run_gox,,260209-2,14.797142857142854,14.797142857142854,14.797142857142854,1.0,True,1
260209-2,PMBTA-11,GOX,0.9312997951286138,,8.117460317460322,8.716269841269845,same_run_gox,,260209-2,26.746666666666663,14.797142857142854,14.797142857142854,1.8075561562721247,True,2
260209-2,PMBTA-4,GOX,0.857272934213521,,7.472222222222221,8.716269841269845,same_run_gox,,260209-2,28.12,14.797142857142854,14.797142857142854,1.9003668661903848,True,3
260209-2,GOx with DMSO,GOX,0.8309128158433873,,7.2424603174603215,8.716269841269845,same_run_gox,,260209-2,25.033333333333328,14.797142857142854,14.797142857142854,1.691768037587694,True,4
260209-2,PMBTA-5,GOX,0.7954017755520145,,6.93293650793651,8.716269841269845,same_run_gox,,260209-2,27.85666666666666,14.797142857142854,14.797142857142854,1.8825706378322713,True,5
260209-2,PMBTA-1,GOX,0.7876895060323233,,6.865714285714282,8.716269841269845,same_run_gox,,260209-2,27.01666666666666,14.797142857142854,14.797142857142854,1.825802922057025,True,6
260209-2,PMBTA-9,GOX,0.7806510357386751,,6.804365079365082,8.716269841269845,same_run_gox,,260209-2,26.27666666666666,14.797142857142854,14.797142857142854,1.775793267683594,True,7
260209-2,PMBTA-3,GOX,0.7487912588208512,,6.526666666666668,8.716269841269845,same_run_gox,,260209-2,22.95714285714285,14.797142857142854,14.797142857142854,1.5514578103881056,True,8
260209-2,PMBTA-7,GOX,0.678335368251143,,5.912554112554113,8.716269841269845,same_run_gox,,260209-2,27.87666666666665,14.797142857142854,14.797142857142854,1.8839222501126338,True,9
260209-2,PMBTA-10,GOX,0.6690784289691637,,5.83186813186813,8.716269841269845,same_run_gox,,260209-2,11.856709956709958,14.797142857142854,14.797142857142854,0.8012837391095745,True,10
260209-2,PMBTA-2,GOX,0.6544659892804666,,5.704502164502165,8.716269841269845,same_run_gox,,260209-2,31.553333333333324,14.797142857142854,14.797142857142854,2.132393640986033,True,11
260209-2,PMBTA-8,GOX,0.633417627216853,,5.521038961038961,8.716269841269845,same_run_gox,,260209-2,26.106666666666666,14.797142857142854,14.797142857142854,1.7643045633005088,True,12
260209-2,PMBTA-6,GOX,0.6159948678683027,,5.36917748917749,8.716269841269845,same_run_gox,,260209-2,25.43809523809523,14.797142857142854,14.797142857142854,1.7191220956426594,True,13
260209-2,PMPC,GOX,0.5745437990191006,,5.00787878787879,8.716269841269845,same_run_gox,,260209-2,15.326666666666664,14.797142857142854,14.797142857142854,1.0357855441848491,True,14
260209-2,PMTAC,GOX,0.3764617263001054,,3.281341991341992,8.716269841269845,same_run_gox,,260209-2,15.249880952380948,14.797142857142854,14.797142857142854,1.0305963184655982,True,15
