run_id,polymer_id,fog,fog_activity_adjusted,log_fog,fog_missing_reason,gox_t50_same_run_min,t50_min,abs_activity_at_0,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260211-1,PMBTA-11,1.4210387952777173,1.216788467500843,0.3513881501340659,,11.653322843997444,16.55982385521643,27.463333333333328,32.07333333333333,0.8562668883807939,0.8562668883807939,0,True,1
260211-1,PMPC,1.2147778789296375,1.0756503355311278,0.19456124438391392,,11.653322843997444,14.156198806913505,28.399999999999995,32.07333333333333,0.8854707960922884,0.8854707960922884,0,True,2
260211-1,GOx with DMSO,1.0618467252351274,1.0288502410483362,0.06000958588307688,,11.653322843997444,12.374042700006386,31.076666666666657,32.07333333333333,0.9689253793390146,0.9689253793390146,0,True,3
260211-1,GOx,1.0,1.0,0.0,,11.653322843997444,11.653322843997444,32.07333333333333,32.07333333333333,1.0,1.0,0,True,4
260211-1,PMBTA-4,0.9767305074144736,0.9767305074144736,-0.023544501822008606,,11.653322843997444,11.3821559344823,33.61,32.07333333333333,1.047911037206402,1.0,0,True,5
260211-1,PMBTA-9,0.9654982567850777,0.9654982567850777,-0.035110982620037076,,11.653322843997444,11.251262891633257,33.00333333333333,32.07333333333333,1.0289960507171065,1.0,0,True,6
260211-1,PMBTA-5,0.9873978675384272,0.9383460923686737,-0.012682212833165037,,11.653322843997444,11.506466125899916,30.48,32.07333333333333,0.9503221783413013,0.9503221783413013,0,True,7
260211-1,PMBTA-6,0.9182070782491095,0.9182070782491095,-0.08533233836519971,,11.653322843997444,10.700163520480496,34.463333333333324,32.07333333333333,1.074516732488048,1.0,0,True,8
260211-1,PMBTA-3,1.1214498290702297,0.9008195519521727,0.11462233841814731,,11.653322843997444,13.068616911501136,25.76333333333333,32.07333333333333,0.8032633548118894,0.8032633548118894,0,True,9
260211-1,PMBTA-2,0.8965156576344565,0.8886890815337192,-0.1092395207972668,,11.653322843997444,10.447386393113003,31.79333333333333,32.07333333333333,0.9912700062357098,0.9912700062357098,0,True,10
260211-1,PMTAC,1.7957811987155923,0.8474375212673667,0.585440135462724,,11.653322843997444,20.926818065813524,15.13555555555556,32.07333333333333,0.47190466292524097,0.47190466292524097,0,True,11
260211-1,GOx with EtOH,0.9531793746114912,0.8353940621594996,-0.04795217204086792,,11.653322843997444,11.107706980587286,28.11,32.07333333333333,0.8764290168364166,0.8764290168364166,0,True,12
260211-1,PMBTA-1,0.8524903934737272,0.8295434996980368,-0.1595933385404763,,11.653322843997444,9.934345776555755,31.21,32.07333333333333,0.9730825192267721,0.9730825192267721,0,True,13
260211-1,PMBTA-7,0.8153920108709359,0.8153920108709359,-0.2040862864485934,,11.653322843997444,9.50202634709529,32.56666666666666,32.07333333333333,1.0153814175847018,1.0,0,True,14
260211-1,PMBTA-8,0.7867895215318097,0.7867895215318097,-0.2397945103853395,,11.653322843997444,9.168712304684457,34.76333333333332,32.07333333333333,1.0838702972355017,1.0,0,True,15
260211-1,PMBTA-10,0.9726140015542367,0.7294099600099118,-0.027767985111305772,,11.653322843997444,11.334184962703752,24.053333333333327,32.07333333333333,0.7499480357514029,0.7499480357514029,0,True,16
