plate	row	polymer_id	sample_name	use_for_bo	include_in_all_polymers	all_polymers_pair
plate1	A	GOx (heat time low C)		False	True	False
plate1	B	GOx (heat time low C)		False	True	False
plate1	C	GOx with DMSO (high C)		False	True	False
plate1	D	GOx with DMSO (high C)		False	True	False
plate1	E	GOx with DMSO (high C)		False	True	False
plate1	F	GOx with EtOH (high C)		False	True	False
plate1	G	GOx with EtOH (high C)		False	True	False
plate1	H	GOx with EtOH (high C)		False	True	False
