plate	row	polymer_id	sample_name	use_for_bo	include_in_all_polymers	all_polymers_pair
plate1	A	PMBTA-1		True	True	False
plate1	B	PMBTA-2		True	True	False
plate1	C	PMBTA-3		True	True	False
plate1	D	PMBTA-4		True	True	False
plate1	E	PMBTA-5		True	True	False
plate1	F	PMPC		True	True	False
plate1	G	PMTAC		True	True	False
plate1	H	PMBTA-6		True	True	False
plate2	A	PMBTA-7		True	True	False
plate2	B	PMBTA-8		True	True	False
plate2	C	PMBTA-9		True	True	False
plate2	D	PMBTA-10		True	True	False
plate2	E	PMBTA-11		True	True	False
plate2	F	GOx		True	True	True
plate2	G	GOx with DMSO		False	True	True
plate2	H	GOx with EtOH		False	True	True
