plate_id,time_s,well,signal,source_file,row,polymer_id,sample_name,use_for_bo,include_in_all_polymers,all_polymers_pair,run_id
plate2,186.0,A4,3132,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,216.0,A4,3497,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,246.0,A4,3867,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,276.0,A4,4221,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,306.0,A4,4551,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,336.0,A4,4834,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,366.0,A4,5149,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,396.0,A4,5430,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,426.0,A4,5669,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,456.0,A4,5942,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,486.0,A4,6202,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,516.0,A4,6414,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,546.0,A4,6625,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,576.0,A4,6871,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,606.0,A4,7049,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,6.0,A5,377,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,36.0,A5,630,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,66.0,A5,883,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,96.0,A5,1131,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,126.0,A5,1391,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,156.0,A5,1620,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,186.0,A5,1855,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,216.0,A5,2095,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,246.0,A5,2326,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,276.0,A5,2535,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,306.0,A5,2753,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,336.0,A5,2984,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,366.0,A5,3195,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,396.0,A5,3369,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,426.0,A5,3560,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,456.0,A5,3755,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,486.0,A5,3955,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,516.0,A5,4139,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,546.0,A5,4343,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,576.0,A5,4527,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,606.0,A5,4672,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,6.0,A6,248,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,36.0,A6,291,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,66.0,A6,313,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,96.0,A6,333,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,126.0,A6,354,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,156.0,A6,372,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,186.0,A6,391,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,216.0,A6,406,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,246.0,A6,426,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,276.0,A6,448,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
plate2,306.0,A6,459,plate7.csv,A,PMBTA-5,,True,True,False,260211-plate7
