run_id,polymer_id,t50_min,t50_censored,fog,log_fog,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_missing_reason
260211-group_mean,GOx,12.693360238367362,0,1.0,0.0,rea50,260211-1|260211-2,2,2,2,50.0,28.28003717348153,True,
260211-group_mean,GOx with DMSO,12.703381539064281,0,1.0053277211610854,0.005313579062567411,rea50,260211-1|260211-2,2,2,2,50.0,22.707044084060914,True,
260211-group_mean,GOx with EtOH,11.669799761096783,0,0.9218495737066162,-0.08137322089832645,rea50,260211-1|260211-2,2,2,2,50.0,17.014538701811595,True,
260211-group_mean,PMBTA-1,10.891729969277463,0,0.8575650185277828,-0.15365827946047253,rea50,260211-1|260211-2,2,2,2,50.0,15.3177844282168,True,
260211-group_mean,PMBTA-10,16.203575540723687,0,1.2837735093214342,0.24980379509893563,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,42.223831011249516,True,
260211-group_mean,PMBTA-11,15.425396051092571,0,1.2458051816687643,0.21978205313955224,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,28.178304611853644,True,
260211-group_mean,PMBTA-2,11.047741543464552,0,0.8722838433583413,-0.1366403996010707,rea50,260211-1|260211-2,2,2,2,50.0,16.939509713579696,True,
260211-group_mean,PMBTA-3,12.825078632835545,0,1.0186735616424445,0.018501351241311456,rea50,260211-1|260211-2,2,2,2,50.0,22.338205413754586,True,
260211-group_mean,PMBTA-4,12.353830263391995,0,0.9734637797013306,-0.026894661126736445,rea50,260211-1|260211-2,2,2,2,50.0,23.552688083152162,True,
260211-group_mean,PMBTA-5,12.714123166988928,0,1.0005152096847643,0.0005150770098229448,rea50,260211-1|260211-2,2,2,2,50.0,21.735807295841802,True,
260211-group_mean,PMBTA-6,11.832513502697244,0,0.9209386083739723,-0.08236190252295075,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,19.43085295056772,True,
260211-group_mean,PMBTA-7,11.223012150719283,0,0.8557558472344506,-0.15577016871823554,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,17.519215600424534,True,
260211-group_mean,PMBTA-8,11.96036137987889,0,0.8459427226366139,-0.1673036254071425,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,17.61496692575253,True,
260211-group_mean,PMBTA-9,13.408187844325978,0,0.9843860003535054,-0.015737182068287364,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,25.18601821064568,True,
260211-group_mean,PMPC,12.84105879547801,0,1.0190082864620633,0.018829886162443434,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,21.388763599009263,True,
260211-group_mean,PMTAC,10.62894011273893,0,1.145323799751869,0.13568739157048026,rea50,260211-1|260211-2|260211-3,3,3,2,50.0,28.594246034019452,True,
