run_id,polymer_id,reference_polymer_id,fog,fog_activity_adjusted,log_fog,fog_missing_reason,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260211-group_mean,PMBTA-10,GOX,1.2837735093214342,1.2837735093214342,0.24980379509893563,,16.203575540723687,,,,,1.0,0,True,1
260211-group_mean,PMBTA-11,GOX,1.2458051816687643,1.2458051816687643,0.21978205313955224,,15.425396051092571,,,,,1.0,0,True,2
260211-group_mean,PMTAC,GOX,1.145323799751869,1.145323799751869,0.13568739157048026,,10.62894011273893,,,,,1.0,0,True,3
260211-group_mean,PMPC,GOX,1.0190082864620633,1.0190082864620633,0.018829886162443434,,12.84105879547801,,,,,1.0,0,True,4
260211-group_mean,PMBTA-3,GOX,1.0186735616424445,1.0186735616424445,0.018501351241311456,,12.825078632835545,,,,,1.0,0,True,5
260211-group_mean,GOx with DMSO,GOX,1.0053277211610854,1.0053277211610854,0.005313579062567411,,12.703381539064281,,,,,1.0,0,True,6
260211-group_mean,PMBTA-5,GOX,1.0005152096847643,1.0005152096847643,0.0005150770098229448,,12.714123166988928,,,,,1.0,0,True,7
260211-group_mean,GOx,GOX,1.0,1.0,0.0,,12.693360238367362,,,,,1.0,0,True,8
260211-group_mean,PMBTA-9,GOX,0.9843860003535054,0.9843860003535054,-0.015737182068287364,,13.408187844325978,,,,,1.0,0,True,9
260211-group_mean,PMBTA-4,GOX,0.9734637797013306,0.9734637797013306,-0.026894661126736445,,12.353830263391995,,,,,1.0,0,True,10
260211-group_mean,GOx with EtOH,GOX,0.9218495737066162,0.9218495737066162,-0.08137322089832645,,11.669799761096783,,,,,1.0,0,True,11
260211-group_mean,PMBTA-6,GOX,0.9209386083739723,0.9209386083739723,-0.08236190252295075,,11.832513502697244,,,,,1.0,0,True,12
260211-group_mean,PMBTA-2,GOX,0.8722838433583413,0.8722838433583413,-0.1366403996010707,,11.047741543464552,,,,,1.0,0,True,13
260211-group_mean,PMBTA-1,GOX,0.8575650185277828,0.8575650185277828,-0.15365827946047253,,10.891729969277463,,,,,1.0,0,True,14
260211-group_mean,PMBTA-7,GOX,0.8557558472344506,0.8557558472344506,-0.15577016871823554,,11.223012150719283,,,,,1.0,0,True,15
260211-group_mean,PMBTA-8,GOX,0.8459427226366139,0.8459427226366139,-0.1673036254071425,,11.96036137987889,,,,,1.0,0,True,16
