round_id,polymer_id,reference_polymer_id,mean_fog,mean_log_fog,robust_fog,robust_log_fog,log_fog_mad,mean_fog_native_constrained,mean_log_fog_native_constrained,robust_fog_native_constrained,robust_log_fog_native_constrained,log_fog_native_constrained_mad,native_feasible_fraction,n_observations,run_ids
R3,GOx with DMSO,GOX,0.8904224852471933,-0.14742986974909006,0.9660978059975991,-0.03449020145017733,0.017307968699115196,0.8904224852471933,-0.14742986974909006,0.9660978059975991,-0.03449020145017733,0.017307968699115196,1.0,5,"260209-1,260209-2,260209-3,260211-1,260211-2"
R3,PMBTA-1,GOX,0.7430246660508224,-0.32718865867235264,0.8514149181261685,-0.1608557038644848,0.07429769678964064,0.7430246660508224,-0.32718865867235264,0.8514149181261685,-0.1608557038644848,0.07429769678964064,1.0,5,"260209-1,260209-2,260209-3,260211-1,260211-2"
R3,PMBTA-2,GOX,0.7834626984937315,-0.2990306981092908,0.8938563721051337,-0.11221017431595921,0.029340140380034546,0.7834626984937315,-0.2990306981092908,0.8938563721051337,-0.11221017431595921,0.029340140380034546,1.0,5,"260209-1,260209-2,260209-3,260211-1,260211-2"
R3,PMBTA-3,GOX,0.9542487973747054,-0.08406817960319465,1.0259987186147352,0.025666497834284485,0.11269712692510199,0.9542487973747054,-0.08406817960319465,1.0259987186147352,0.025666497834284485,0.11269712692510199,1.0,5,"260209-1,260209-2,260209-3,260211-1,260211-2"
R3,PMBTA-4,GOX,0.922905461146655,-0.1369757351399239,0.9708517692901263,-0.029581480129855692,0.14151875355049484,0.922905461146655,-0.1369757351399239,0.9708517692901263,-0.029581480129855692,0.14151875355049484,1.0,5,"260209-1,260209-2,260209-3,260211-1,260211-2"
R3,PMBTA-5,GOX,0.8763257165195345,-0.17098015751521814,0.9910991171143122,-0.008950422608023895,0.02503363959427024,0.8763257165195345,-0.17098015751521814,0.9910991171143122,-0.008950422608023895,0.02503363959427024,1.0,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-plate7"
R3,PMPC,GOX,1.0447527063209183,0.01698311748876879,1.074961343679315,0.07146730150748308,0.11753212346646436,0.9269652729774157,-0.09463071309190849,0.9625536465645541,-0.04073857159346097,0.11220587310094404,0.6666666666666666,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMBTA-10,GOX,1.1551596420669137,0.10661711967831215,1.1001082022066364,0.0899460538494923,0.20345139257722644,1.2801596482951831,0.21078765127901486,1.214781028144728,0.19456383680106532,0.3050687755312892,0.5,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMBTA-11,GOX,1.1051314043697165,0.09082495299056759,1.1619460413516305,0.15009622133744704,0.06800325444539441,1.1051314043697165,0.09082495299056759,1.1619460413516305,0.15009622133744704,0.06800325444539441,1.0,7,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3,260211-plate7"
R3,PMBTA-6,GOX,0.8277967770881647,-0.2019544723152904,0.8193680521388701,-0.19972490609557908,0.11528513057324453,0.8277967770881647,-0.2019544723152904,0.8193680521388701,-0.19972490609557908,0.11528513057324453,1.0,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMBTA-7,GOX,0.8288922750793603,-0.19437970706193006,0.8064868737929902,-0.21511441550815202,0.10633297473115169,0.8288922750793603,-0.19437970706193006,0.8064868737929902,-0.21511441550815202,0.10633297473115169,1.0,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMBTA-8,GOX,0.8512164971695722,-0.1779839325852053,0.7950724945467897,-0.23329138052116147,0.11869244942449314,0.8512164971695722,-0.1779839325852053,0.7950724945467897,-0.23329138052116147,0.11869244942449314,1.0,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMBTA-9,GOX,0.9331790313415894,-0.08249828369804796,0.8618938828505596,-0.14911453629642568,0.08305100390852523,0.9331790313415894,-0.08249828369804796,0.8618938828505596,-0.14911453629642568,0.08305100390852523,1.0,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,PMTAC,GOX,0.9510683393330535,-0.16231160424468308,0.8160187380532896,-0.20979640833473756,0.2618267485345014,0.7169591136039668,-0.38388209401715506,0.6792633817352884,-0.38886496176281826,0.251861013043175,0.6666666666666666,6,"260209-1,260209-2,260209-3,260211-1,260211-2,260211-3"
R3,background,GOX,0.2387662558642182,-2.179620733430999,0.05172252914670042,-2.961861825525815,0.13619841469605687,0.04842960048926027,-3.0299610328738433,0.04842960048926027,-3.0299610328738433,0.06809920734802843,0.6666666666666666,3,"260209-1,260209-2,260209-3"
R3,GOx with EtOH,GOX,0.9218495737066164,-0.08192385673716715,0.9218495737066164,-0.08192385673716715,0.033188459225146294,0.9218495737066164,-0.08192385673716715,0.9218495737066164,-0.08192385673716715,0.033188459225146294,1.0,2,"260211-1,260211-2"
