round_id,run_id,plate_id,polymer_id,reference_polymer_id,t50_min,t50_definition,gox_t50_used_min,denominator_source,fog,log_fog,abs_activity_at_0,gox_abs_activity_at_0_ref,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog_native_constrained,log_fog_native_constrained,fog_constraint_reason,native_0,native_0_reference_source,t_theta,t_theta_censor_flag,censor_flag,reference_qc_fail,reference_qc_reason,reference_qc_ref_abs0_median,reference_qc_ref_abs0_mad,reference_qc_ref_abs0_rel_mad,U_0,U_5,U_10,U_15,U_20,U_40,U_60
R3,260209-1,plate1,GOx with DMSO,GOX,12.240801922778278,y0_half,12.657464685988462,same_plate,0.9670816570658561,-0.0334723433857843,24.999999999999996,24.889999999999997,1.004419445560466,0.7,1,0.9670816570658561,-0.0334723433857843,,1.004419445560466,same_plate,7.922259274697789,,,0,,24.889999999999997,0.0,0.0,1.004419445560466,0.8877728672827105,0.5664925672961026,0.45135740113642864,0.2915686161969809,0.019097013874032755,0.007652719585222545
R3,260209-1,plate1,PMBTA-1,GOX,7.690474198199671,y0_half,12.657464685988462,same_plate,0.6075840927854106,-0.4982646890090738,26.879999999999992,24.889999999999997,1.079951787866613,0.7,1,0.6075840927854106,-0.4982646890090738,,1.079951787866613,same_plate,3.5209736898092325,,,0,,24.889999999999997,0.0,0.0,1.079951787866613,0.5403967935104936,0.37900093745814933,0.384118693680767,0.27465610591363904,0.018016527623504214,0.0041736755276329295
R3,260209-1,plate1,PMBTA-2,GOX,11.313955464266492,y0_half,12.657464685988462,same_plate,0.8938563721051337,-0.11221017431595921,21.031428571428567,24.889999999999997,0.8449750330023531,0.7,1,0.8938563721051337,-0.11221017431595921,,0.8449750330023531,same_plate,6.301130561633844,,,0,,24.889999999999997,0.0,0.0,0.8449750330023531,0.7682565191604966,0.505959555376992,0.3198720836326301,0.1676641290944224,0.015882871648239257,0.004068116161326284
R3,260209-1,plate1,PMBTA-3,GOX,14.930860117523228,y0_half,12.657464685988462,same_plate,1.179609067687257,0.16518308501595697,17.827619047619038,24.889999999999997,0.7162562895789089,0.7,1,1.179609067687257,0.16518308501595697,,0.7162562895789089,same_plate,6.122768152360798,,,0,,24.889999999999997,0.0,0.0,0.7162562895789089,0.764965849738851,0.4756547858195104,0.3917427155675446,0.2177355254896436,0.025445292620865128,0.004981224748199434
R3,260209-1,plate1,PMBTA-4,GOX,10.666915065065378,y0_half,12.657464685988462,same_plate,0.8427370985971165,-0.17110023368035054,25.629999999999995,24.889999999999997,1.0297308155885898,0.7,1,0.8427370985971165,-0.17110023368035054,,1.0297308155885898,same_plate,7.254850905978026,,,0,,24.889999999999997,0.0,0.0,1.0297308155885898,0.8209454935047542,0.552755935640628,0.38217681608601645,0.2566849694210081,0.01752124934125738,0.009374581491897687
R3,260209-1,plate1,PMBTA-5,GOX,10.170177128339523,y0_half,12.657464685988462,same_plate,0.8034924355426161,-0.21878750823268614,24.879999999999992,24.889999999999997,0.9995982322217756,0.7,1,0.8034924355426161,-0.21878750823268614,,0.9995982322217756,same_plate,6.458555825242715,,,0,,24.889999999999997,0.0,0.0,0.9995982322217756,0.7459871051674988,0.5883410817119131,0.31152945978177005,0.2272892501900136,0.01732645284272444,0.00496731071258994
R3,260209-1,plate1,PMPC,GOX,14.307803777461158,y0_half,12.657464685988462,same_plate,1.130384649091661,0.12255797222843788,15.55666666666666,24.889999999999997,0.6250167403240925,0.7,0,,,native_activity_below_threshold,0.6250167403240925,same_plate,0.0,already_below,already_below,0,,24.889999999999997,0.0,0.0,0.6250167403240925,0.5435918039373242,0.43730190616490344,0.31924711153317026,0.22271008309578033,0.013526181866880939,0.0026937572939983575
R3,260209-1,plate2,PMBTA-10,GOX,9.620158896042874,y0_half,12.657464685988462,same_round,0.7600383753542825,-0.27438635308931986,14.21333333333333,24.889999999999997,0.5710459354493103,0.7,0,,,native_activity_below_threshold,0.5710459354493103,same_round,0.0,already_below,already_below,0,,24.889999999999997,0.0,0.0,0.5710459354493103,0.4126686833833576,0.2493726977455384,0.18465838433697013,0.1647791636584431,0.02879161818494884,0.009604163079454324
R3,260209-1,plate2,PMBTA-11,GOX,10.804826698717319,y0_half,12.657464685988462,same_round,0.8536327745538194,-0.15825418405008218,27.693333333333328,24.889999999999997,1.1126289004955134,0.7,1,0.8536327745538194,-0.15825418405008218,,1.1126289004955134,same_round,7.693905178869748,,,0,,24.889999999999997,0.0,0.0,1.1126289004955134,0.8789339761617784,0.5468250779620806,0.44833457690026574,0.3139847073153624,0.021878081741480707,0.005358642964106999
R3,260209-1,plate2,PMBTA-6,GOX,9.617101402172,y0_half,12.657464685988462,same_round,0.759796818775084,-0.2747042251614571,25.67809523809523,24.889999999999997,1.0316631272838583,0.7,1,0.759796818775084,-0.2747042251614571,,1.0316631272838583,same_round,6.3952112452350685,,,0,,24.889999999999997,0.0,0.0,1.0316631272838583,0.7672234020164915,0.5263157894736841,0.338087585375653,0.21808511563433222,0.015444579526540146,0.003975386437165645
R3,260209-1,plate2,PMBTA-7,GOX,10.10936509695136,y0_half,12.657464685988462,same_round,0.7986879954041829,-0.22478490334054357,28.079999999999995,24.889999999999997,1.1281639212535155,0.7,1,0.7986879954041829,-0.22478490334054357,,1.1281639212535155,same_round,4.129400693778138,,,0,,24.889999999999997,0.0,0.0,1.1281639212535155,0.6097304329526103,0.606210181943408,0.4600815014635824,0.3511896790321861,0.02033884155218025,0.0065117686652439504
