run_id,bo_run_id,frac_MPC,frac_BMA,frac_MTAC,y,x,pred_log_fog_mean,pred_log_fog_std,pred_fog_median,pred_fog_mean,ei,ucb,constraint_sum_ok,constraint_bounds_ok,min_dist_to_train,selected,selection_reason,selection_order,policy_exploration_ratio,policy_n_total,policy_n_unique,policy_n_exploit,policy_n_explore,policy_n_anchor,policy_n_replicate
bo_r1_7pt,bo_r1_7pt,0.02,0.02,0.96,0.98,0.020408163265306124,0.7623969543796778,0.0006046514123071586,2.143407718575024,2.1434081103935605,0.0,0.7636062572042921,True,True,0.04472135954999583,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.04,0.94,0.98,0.04081632653061225,0.7623972054879038,0.0006046515041184631,2.1434082568024015,2.1434086486211554,0.0,0.7636065084961408,True,True,0.07211102550927984,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.06,0.9199999999999999,0.98,0.061224489795918366,0.7623973484339448,0.0006046515284717038,2.143408563194148,2.143408955012989,0.0,0.7636066514908882,True,True,0.10000000000000006,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.08,0.9,0.98,0.0816326530612245,0.7623974118453489,0.0006046515327923265,2.143408699110699,2.1434090909295707,0.0,0.7636067149109336,True,True,0.12806248474865695,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.1,0.88,0.98,0.10204081632653061,0.7623974367044343,0.0006046515334009776,2.1434087523938796,2.1434091442127614,0.0,0.7636067397712363,True,True,0.1562049935181331,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.12,0.86,0.98,0.12244897959183673,0.7623974462036898,0.0006046515334741858,2.143408772754667,2.1434091645735527,0.0,0.7636067492706381,True,True,0.18439088914585774,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.14,0.84,0.98,0.14285714285714288,0.7623974504677385,0.000604651533480154,2.1434087818942666,2.143409173713154,0.0,0.7636067535346989,True,True,0.21260291625469302,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.16,0.82,0.98,0.163265306122449,0.76239745321354,0.0006046515334761984,2.1434087877796415,2.14340917959853,0.0,0.7636067562804925,True,True,0.24083189157584595,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.18,0.8,0.98,0.1836734693877551,0.7623974552857338,0.0006046515334693939,2.1434087922211997,2.143409184040089,0.0,0.7636067583526726,True,True,0.2433105012119288,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.2,0.78,0.98,0.20408163265306123,0.7623974563447091,0.0006046515334647354,2.143408794491017,2.1434091863099067,0.0,0.7636067594116386,True,True,0.22803508501982758,0,,,0.35,8,6,4,2,1,1
