run_id,bo_run_id,frac_MPC,frac_BMA,frac_MTAC,y,x,pred_log_fog_mean,pred_log_fog_std,pred_fog_median,pred_fog_mean,ei,ucb,constraint_sum_ok,constraint_bounds_ok,min_dist_to_train,selected,selection_reason,selection_order,policy_exploration_ratio,policy_n_total,policy_n_unique,policy_n_exploit,policy_n_explore,policy_n_anchor,policy_n_replicate
bo_r1_7pt,bo_r1_7pt,0.26,0.14,0.6,0.74,0.1891891891891892,0.7623981691138676,0.0006046513560175608,2.1434103222472443,2.1434107140661833,0.0,0.7636074718259027,True,True,0.039999999999999925,1,exploit_ucb_fallback,1.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.34,0.14,0.5199999999999999,0.6599999999999999,0.21212121212121215,0.7623981688006362,0.0006046513560174124,2.143410321575861,2.1434107133947995,0.0,0.7636074715126709,True,True,0.04000000000000015,1,exploit_ucb_fallback,2.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.34,0.56,0.09999999999999987,0.6599999999999999,0.8484848484848486,0.7623979645608514,0.0006046513560175631,2.1434098838062425,2.1434102756251017,0.0,0.7636072672728865,True,True,0.04000000000000015,1,exploit_ucb_fallback,3.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.26,0.56,0.17999999999999994,0.74,0.7567567567567568,0.7623979645608302,0.0006046513560175631,2.1434098838061972,2.143410275625056,0.0,0.7636072672728653,True,True,0.039999999999999925,1,exploit_ucb_fallback,4.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.9,0.07999999999999996,0.98,0.9183673469387755,0.7623974488745745,0.0006046515334840153,2.143408778479465,2.1434091702983515,0.0,0.7636067519415425,True,True,0.34525353003264136,1,explore_std,5.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.06,0.92,0.019999999999999907,0.94,0.9787234042553192,0.7623974488745134,0.0006046515334840153,2.143408778479334,2.143409170298221,0.0,0.7636067519414814,True,True,0.37947331922020555,1,explore_std,6.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,1.0,0.0,0.0,0.0,0.5,0.7623976061539289,0.0006046512304285455,2.1434091155934403,2.143409507411996,0.0,0.763606908614786,True,True,0.0,1,anchor_PMPC,7.0,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.26,0.14,0.6,0.74,0.1891891891891892,0.7623981691138676,0.0006046513560175608,2.1434103222472443,2.1434107140661833,0.0,0.7636074718259027,True,True,0.039999999999999925,1,replicate_of_1,8.0,0.35,8,6,4,2,1,1
