run_id,bo_run_id,frac_MPC,frac_BMA,frac_MTAC,x,y,priority_rank,priority_score,recommended_top3,selection_order,selection_reason,ei,ucb,pred_log_fog_mean,pred_log_fog_std,pred_fog_mean,pred_fog_median,pred_fog_lower95,pred_fog_upper95,prob_fog_gt_1,robust_fog_score,pred_activity_gain_pct_vs_gox_mean,pred_activity_gain_pct_vs_gox_median,pred_t50_min_mean_vs_last_round_gox,pred_t50_min_median_vs_last_round_gox,pred_t50_min_lower95_vs_last_round_gox,pred_t50_min_upper95_vs_last_round_gox,robust_t50_score,last_round_id,last_round_gox_t50_min_median,last_round_gox_t50_min_mean,last_round_gox_t50_n,priority_weight_fog,priority_weight_t50,priority_weight_ei,proposal_policy,selection_priority_note
bo_r1_7pt,bo_r1_7pt,0.26,0.14,0.6,0.1891891891891892,0.74,1,95.0,1,1.0,exploit_ucb_fallback,0.0,0.7636074718259027,0.7623981691138676,0.0006046513560175608,2.1434107140661833,2.1434103222472443,2.1408716822082448,2.1459519725989593,1.0,2.1434107140661833,114.34107140661834,114.34103222472443,29.861489735040898,29.861484276312364,29.826116545355315,29.896893946232236,29.861489735040898,R3,13.931762839046277,13.931762839046279,12,0.45,0.45,0.1,mixed_exploit_explore,Low order is higher priority.
bo_r1_7pt,bo_r1_7pt,0.34,0.14,0.5199999999999999,0.21212121212121215,0.6599999999999999,2,94.9608590509684,1,2.0,exploit_ucb_fallback,0.0,0.7636074715126709,0.7623981688006362,0.0006046513560174124,2.1434107133947995,2.143410321575861,2.140871681537657,2.145951971926779,1.0,2.1434107133947995,114.34107133947995,114.34103215758608,29.86148972568734,29.861484266958808,29.826116536012847,29.896893936867574,29.86148972568734,R3,13.931762839046277,13.931762839046279,12,0.45,0.45,0.1,mixed_exploit_explore,Low order is higher priority.
bo_r1_7pt,bo_r1_7pt,0.34,0.56,0.09999999999999987,0.8484848484848486,0.6599999999999999,3,69.43935985935623,1,3.0,exploit_ucb_fallback,0.0,0.7636072672728865,0.7623979645608514,0.0006046513560175631,2.1434102756251017,2.1434098838062425,2.14087124428653,2.1459515336380557,1.0,2.1434102756251017,114.34102756251016,114.34098838062425,29.86148362678373,29.86147816805631,29.82611044433384,29.896887830733032,29.86148362678373,R3,13.931762839046277,13.931762839046279,12,0.45,0.45,0.1,mixed_exploit_explore,Low order is higher priority.
bo_r1_7pt,bo_r1_7pt,0.02,0.9,0.07999999999999996,0.9183673469387755,0.98,4,5.000007611693803,0,5.0,explore_std,0.0,0.7636067519415425,0.7623974488745745,0.0006046515334840153,2.1434091702983515,2.143408778479465,2.140870139524239,2.1459504277470054,1.0,2.1434091702983515,114.34091702983515,114.34087784794649,29.861468227633587,29.86146276890578,29.82609505304761,29.89687242372119,29.861468227633587,R3,13.931762839046277,13.931762839046279,12,0.45,0.45,0.1,mixed_exploit_explore,Low order is higher priority.
bo_r1_7pt,bo_r1_7pt,0.06,0.92,0.019999999999999907,0.9787234042553192,0.94,5,5.0,0,6.0,explore_std,0.0,0.7636067519414814,0.7623974488745134,0.0006046515334840153,2.143409170298221,2.143408778479334,2.140870139524108,2.1459504277468744,1.0,2.143409170298221,114.3409170298221,114.34087784793338,29.861468227631768,29.861462768903955,29.826095053045783,29.896872423719365,29.861468227631768,R3,13.931762839046277,13.931762839046279,12,0.45,0.45,0.1,mixed_exploit_explore,Low order is higher priority.
