run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,native_activity_soft_penalty,fog,fog_native_constrained,fog_native_soft,log_fog_native_soft,solvent_group,solvent_control_polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,objective_loglinear_main,objective_loglinear_main_exp,fog_activity_bonus_penalty,log_fog_activity_bonus_penalty,fog_solvent_balanced,log_fog_solvent_balanced,t50_min,rank_objective_loglinear_main
260211-group_mean,PMPC,0.9925560028641862,0.9925560028641862,0.6999999999999998,1,0.9851674188217304,1.0190082864620633,1.0190082864620633,1.0038937633317855,0.003886202256346867,ETOH,GOx with EtOH,1.1185588928833738,1.100366677951563,1.0,1.023995612509181,1.023995612509181,1.0,1.0292563542494042,1.0292563542494042,0.20768462186152303,1.2308249330552563,1.1266395218535328,0.11923932750716724,1.1267706503737034,0.11935570979915719,12.84105879547801,1.0
260211-group_mean,PMBTA-11,0.9423825472144873,0.9423825472144873,0.6999999999999998,1,0.8880848652944654,1.2458051816687643,1.2458051816687643,1.1063807269454515,0.10109408160845573,PBS,GOx,0.9453475770243074,1.2152334576046515,0.8936820413857288,1.0,0.8936820413857288,0.8665964920686635,1.0,0.8665964920686635,0.13873359177381808,1.1488180046654286,1.0563606941698076,0.05482969341221159,1.0860323171523625,0.08253097903616878,15.425396051092571,2.0
260211-group_mean,PMBTA-1,0.9570179382397315,0.9570179382397315,0.7,1,0.9158833341126265,0.8575650185277828,0.8575650185277828,0.785429508387582,-0.24152456638589306,ETOH,GOx with EtOH,1.07514786037342,0.9333262088683694,1.0,1.008801751130697,1.008801751130697,1.0,1.0105491817858412,1.0105491817858412,0.0034576917832537662,1.003463676495263,0.9409425969281979,-0.060873143459169915,0.9415411138825858,-0.06023726334916645,10.891729969277463,3.0
260211-group_mean,PMBTA-4,1.0279022126062762,1.0279022126062762,0.7,1,1.0,0.9734637797013306,0.9734637797013306,0.9734637797013306,-0.026894661126736445,PBS,GOx,1.0277648758837798,0.9732513716935968,1.0,1.0,1.0,1.0,1.0,1.0,0.00027353781750778447,1.000273575232388,0.9734637797013306,-0.026894661126736445,0.9732513716935968,-0.02711288309765451,12.353830263391995,4.0
260211-group_mean,PMBTA-9,0.9992750627752626,0.9992750627752626,0.6999999999999998,1,0.9985506510845049,0.9843860003535054,0.9843860003535054,0.9829592815714645,-0.017187582305866367,PBS,GOx,0.963754279128176,1.0563150806827302,0.9288223105378702,1.0,0.9288223105378702,0.9700175520130432,1.0,0.9700175520130432,0.017867598605346542,1.0180281791156056,0.9542861348486683,-0.0467917207971737,0.9811290138957303,-0.019051315427991874,13.408187844325978,5.0
260211-group_mean,PMBTA-6,1.0391548295961512,1.0391548295961512,0.6999999999999998,1,1.0,0.9209386083739723,0.9209386083739723,0.9209386083739723,-0.08236190252295075,PBS,GOx,1.0367617966317457,0.9321813357925434,1.0,1.0,1.0,1.0,1.0042904281854084,1.0042904281854084,-0.03412571836861448,0.9664499964828579,0.9248754039791363,-0.07809624894328997,0.9321813357925434,-0.07022791692110161,11.832513502697244,6.0
260211-group_mean,PMBTA-5,0.9418448410927418,0.9418448410927418,0.7,1,0.8870717046930121,1.0005152096847643,1.0005152096847643,0.8875287326263502,-0.11931438336636462,PBS,GOx,0.9417866542808483,1.0016357314557895,0.8869621021815141,1.0,0.8869621021815141,0.8871435699398378,1.0,0.8871435699398378,-0.058342116607599255,0.9433271643358982,0.8873805992051172,-0.11948130279027015,0.8884129339921456,-0.11831862831936676,12.714123166988928,7.0
260211-group_mean,PMBTA-8,1.0167173116110877,1.0167173116110877,0.6999999999999998,1,1.0,0.8459427226366139,0.8459427226366139,0.8459427226366139,-0.1673036254071425,PBS,GOx,0.9510932204847672,0.9422533635913928,0.904578314052086,1.0,0.904578314052086,0.9508362045932629,1.0059273020162127,0.9567635066094757,-0.10962427469461014,0.896170786090742,0.8060792560576274,-0.21557320873213826,0.8523419590474093,-0.15976747229207192,11.96036137987889,8.0
260211-group_mean,PMBTA-3,0.9024517696663239,0.9024517696663239,0.7,1,0.8144191965738797,1.0186735616424445,1.0186735616424445,0.8296273036438921,-0.18677871079078798,PBS,GOx,0.9031325798627238,1.0103769523589228,0.8156484568094992,1.0,0.8156484568094992,0.8226160085918257,1.0,0.8226160085918257,-0.09156243340777846,0.9125043436177502,0.8198796587544966,-0.19859770711025848,0.8241124019874402,-0.19344834819675555,12.825078632835545,9.0
260211-group_mean,PMBTA-7,0.9854457062295627,0.9854457062295627,0.6999999999999998,1,0.9711032399262817,0.8557558472344506,0.8557558472344506,0.8310272758352352,-0.1850926617589285,PBS,GOx,0.9872873337805991,0.884163999127374,0.9747362794436041,1.0,0.9747362794436041,0.9564996751524605,1.0,0.9564996751524605,-0.13590687777285554,0.872923917323257,0.8167505739380798,-0.20242152579158726,0.8618267269273945,-0.14870104136948376,11.223012150719283,10.0
260211-group_mean,PMBTA-2,0.9733900005550666,0.9733900005550666,0.7,1,0.9474880931805926,0.8722838433583413,0.8722838433583413,0.8264785554558335,-0.19058130826960468,PBS,GOx,0.9732672756360635,0.87035594484046,0.9472491898240453,1.0,0.9472491898240453,0.9478077877837325,1.0,0.9478077877837325,-0.1659495611928719,0.8470889592685265,0.8275826455387454,-0.18924630295513697,0.8244439636086671,-0.19304610338108905,11.047741543464552,11.0
