run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,fog_native_constrained,t50_min
round_R3-group_mean,PMBTA-11,1.1646779591796723,1.1646779591796723,0.7000000000000001,1,1.072025377810505,1.072025377810505,13.98816172418652
round_R3-group_mean,PMBTA-3,0.8897768816167464,0.8897768816167464,0.7,1,1.0607387273967204,1.0607387273967204,12.525521951419739
round_R3-group_mean,PMBTA-4,0.9920652038492743,0.9920652038492743,0.7,1,1.0376722961737221,1.0376722961737221,12.001155240395821
round_R3-group_mean,PMBTA-5,1.0584426192496126,1.0584426192496126,0.7,1,0.9988308846184205,0.9988308846184205,11.88824020471834
round_R3-group_mean,GOx with DMSO,1.006605567991441,1.006605567991441,0.6999999999999998,1,0.9608999840489019,0.9608999840489019,11.41290793194022
round_R3-group_mean,PMBTA-9,1.05698057441773,1.05698057441773,0.7,1,0.9588918013594008,0.9588918013594008,12.060523802557187
round_R3-group_mean,GOx with EtOH,0.8899315765883775,0.8899315765883775,0.7,1,0.9218495737066162,0.9218495737066162,11.669799761096783
round_R3-group_mean,PMBTA-7,1.0839426388283895,1.0839426388283895,0.7,1,0.9052171410239954,0.9052171410239954,10.817038940330772
round_R3-group_mean,PMPC,0.9289113200519191,0.9289113200519191,0.7000000000000001,1,1.0526036766848372,0.9007877458027798,13.50299239051545
round_R3-group_mean,PMBTA-2,0.9751559273740568,0.9751559273740568,0.7,1,0.8897237070578392,0.8897237070578392,10.48780748446373
round_R3-group_mean,PMBTA-8,1.0338112875350058,1.0338112875350058,0.7,1,0.8755728337784852,0.8755728337784852,11.121117334648911
round_R3-group_mean,PMBTA-6,1.125904282829397,1.125904282829397,0.7,1,0.8581262381148271,0.8581262381148271,10.564918547500152
round_R3-group_mean,PMBTA-1,1.0346680360410385,1.0346680360410385,0.7,1,0.8099491199545574,0.8099491199545574,9.49607041098812
round_R3-group_mean,PMTAC,0.7485232094143743,0.7485232094143743,0.7000000000000001,1,0.8212685293053898,0.60523168234107,9.493232395227187
round_R3-group_mean,PMBTA-10,0.6892889022308171,0.6892889022308171,0.7000000000000001,0,1.0860068676706909,0.8651093377358738,14.621392376141031
