run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
260216-3,plate1,6.0,429,512,509,491,375,273,255,617,555,578,468,349,251,226,553,564,608,539,375,262,231,777,767,725,646,482,278,241,673,643,899,560,516,260,246,871,781,799,601,517,274,274,721,676,941,607,561,301,284,1273,1178,1116,860,562,298,275
260216-3,plate1,36.0,1194,1217,997,847,549,308,271,1468,1184,1045,781,486,273,239,1317,1163,1093,864,529,287,239,1664,1443,1279,1069,700,306,255,1336,1150,1651,866,726,284,252,1600,1315,1302,873,705,282,280,1165,965,1509,837,764,329,303,2175,1910,1739,1252,761,319,288
260216-3,plate1,66.0,2048,1948,1472,1209,752,324,280,2351,1809,1531,1089,617,291,247,2130,1783,1592,1216,681,302,249,2529,2146,1830,1475,919,332,257,2019,1642,2342,1188,930,298,253,2299,1809,1818,1125,884,291,275,1581,1291,2059,1075,979,351,301,3049,2620,2316,1653,972,340,293
260216-3,plate1,96.0,2835,2635,1948,1556,913,338,285,3185,2424,1982,1400,751,297,246,2933,2412,2123,1561,836,321,255,3362,2811,2355,1879,1144,353,261,2676,2125,2986,1473,1134,300,257,2980,2306,2281,1379,1059,294,283,2017,1647,2575,1311,1175,377,318,3879,3279,2896,2025,1164,362,294
260216-3,plate1,126.0,3606,3257,2415,1907,1066,353,288,3960,3025,2413,1686,878,311,246,3666,3020,2589,1875,996,337,255,4110,3419,2875,2284,1353,380,265,3248,2574,3628,1754,1330,322,259,3623,2762,2723,1642,1234,294,288,2461,1990,3130,1572,1358,398,326,4627,3920,3430,2403,1361,385,305
260216-3,plate1,156.0,4290,3889,2839,2238,1238,372,291,4628,3543,2853,1980,1010,324,257,4296,3539,3019,2208,1152,350,263,4850,4011,3338,2651,1564,401,274,3818,3047,4226,2037,1540,329,258,4227,3196,3136,1862,1400,297,287,2638,2357,3617,1793,1530,428,327,5342,4479,3940,2774,1545,407,309
260216-3,plate1,186.0,4904,4435,3253,2570,1430,388,296,5289,4064,3255,2264,1134,335,257,4924,4004,3451,2513,1303,370,266,5489,4540,3794,3016,1760,432,276,4431,3440,4743,2316,1732,344,266,4735,3601,3513,2095,1573,300,288,2988,2756,4071,2076,1717,455,331,5980,5026,4437,3108,1733,429,312
260216-3,plate1,216.0,5473,4982,3658,2896,1567,406,296,5869,4524,3634,2550,1258,349,259,5538,4472,3882,2825,1467,384,269,6077,5040,4246,3374,1960,449,288,4921,3850,5269,2586,1929,350,266,5222,4029,3839,2317,1712,315,288,3397,3122,4519,2319,1913,487,355,6575,5547,4874,3445,1925,451,320
260216-3,plate1,246.0,6056,5407,4070,3188,1715,423,300,6397,4961,3995,2817,1388,358,260,6023,4929,4309,3116,1603,404,278,6621,5524,4663,3714,2157,474,292,5330,4286,5720,2867,2119,362,273,5677,4404,4290,2550,1882,320,289,3819,3500,4901,2593,2095,515,356,7082,6026,5325,3787,2099,473,323
260216-3,plate1,276.0,6559,5881,4421,3489,1868,438,303,6903,5400,4357,3098,1507,371,266,6531,5373,4708,3415,1747,418,278,7071,5971,5031,4038,2361,498,297,5766,4681,6195,3133,2314,376,271,6062,4763,4576,2773,2008,322,293,4206,3897,5340,2836,2312,542,364,7543,6480,5724,4100,2281,494,334
260216-3,plate1,306.0,7003,6270,4779,3778,2044,451,307,7309,5763,4704,3358,1628,382,264,6958,5722,5022,3678,1893,436,289,7540,6357,5428,4336,2551,526,300,6184,5012,6586,3369,2480,386,279,6496,5085,4997,2979,2151,323,302,4695,4270,5664,3088,2518,565,367,7991,6912,6101,4407,2459,520,333
