run_id,polymer_id,polymer_label,n_points,y0_REA_percent,t50_linear_min,t50_exp_min,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260209-2,GOx,GOx,7,134.2528776031197,18.364466756382825,17.66419198268082,exp,0.039240242703405516,25.484042174724205,,0.796220937841325,exp
260209-2,GOx with DMSO,GOx with DMSO,7,101.35573715278906,11.792416999370504,11.224147752849827,exp,0.061754994305376475,16.19302230124145,,0.9917666673204112,exp
260209-2,PMBTA-1,PMBTA-1,7,102.65440133941624,10.358169948425509,10.347501428903637,exp,0.06698691324881385,14.928288997070739,,0.9934735134484033,exp
260209-2,PMBTA-2,PMBTA-2,7,96.79417608837461,8.008178998403464,8.354074280830895,exp,0.08297115362625253,12.052381536172765,,0.9842488919193931,exp
260209-2,PMBTA-3,PMBTA-3,7,101.54159453573878,13.357472264271397,11.640410751565195,exp,0.05954662557476704,16.793562865193678,,0.9861675014038305,exp
260209-2,PMBTA-4,PMBTA-4,7,99.17075706763615,11.519224432768752,10.518378642097662,exp,0.06589867166273757,15.174812705146687,,0.9911400638483618,exp
260209-2,PMBTA-5,PMBTA-5,7,101.69116020140855,8.770597288051952,9.68168030127308,exp,0.07159368611549803,13.967712158119038,,0.9848554225023327,exp
260209-2,PMPC,PMPC,7,107.9161573483948,16.07087039467062,13.585605927005378,exp,0.051020704139674175,19.599886298362367,,0.9557833386891655,exp
260209-2,PMTAC,PMTAC,7,105.41330838115672,12.553884792835712,11.58685453766853,exp,0.05982185918590276,16.716297580996173,,0.9763873513500326,exp
260209-2,PMBTA-6,PMBTA-6,7,103.32435665073103,10.455785389482367,9.675844196697634,exp,0.07163686872888222,13.959292438989932,,0.991427428556625,exp
260209-2,PMBTA-7,PMBTA-7,7,96.18018840471821,11.00902962205475,9.28568117997529,exp,0.07464688557848911,13.39640618962633,,0.9738862473674583,exp
260209-2,PMBTA-8,PMBTA-8,7,98.03909148516507,10.607158392775967,9.251402998635623,exp,0.07492346627448498,13.346953227396899,,0.9885339390215129,exp
260209-2,PMBTA-9,PMBTA-9,7,103.15091709637632,10.874034698155382,10.191095395083503,exp,0.06801498305023626,14.702642787713321,,0.9919998862613258,exp
260209-2,PMBTA-10,PMBTA-10,6,96.19259667508373,15.450615378328624,14.346984325970963,exp,0.04831309248071093,20.698323138789995,,0.9505305726582368,exp
260209-2,PMBTA-11,PMBTA-11,7,105.457175910356,11.233145998639861,11.245652140326532,exp,0.061636903926126495,16.224046574411446,,0.9821336816827745,exp
260209-2,background,background,5,99.99999999933556,2.505741187294178,0.05621945035601604,exp_plateau,12.38047600258931,0.08077233862339828,0.2864016496709369,0.9999808278839151,exp
