run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,native_activity_soft_penalty,fog,fog_native_constrained,fog_native_soft,log_fog_native_soft,solvent_group,solvent_control_polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,objective_loglinear_main,objective_loglinear_main_exp,fog_activity_bonus_penalty,log_fog_activity_bonus_penalty,fog_solvent_balanced,log_fog_solvent_balanced,t50_min,rank_objective_loglinear_main
260209-1,PMBTA-11,1.1126289004955134,1.1126289004955134,0.7,1,1.0,0.8536327745538196,0.8536327745538196,0.8536327745538196,-0.15825418405008193,PBS,GOx,1.1126289004955134,0.8536327745538196,1.0,1.0219201151734296,1.0219201151734296,1.0,1.0219201151734296,1.0219201151734296,-0.051528590089780835,0.9497764953787508,0.8723445032878536,-0.13657086051596598,0.8723445032878536,-0.13657086051596598,10.80482669871732,1.0
260209-1,PMBTA-7,1.1281639212535153,1.1281639212535153,0.7,1,1.0,0.7986879954041829,0.7986879954041829,0.7986879954041829,-0.22478490334054357,PBS,GOx,1.1281639212535153,0.7986879954041829,1.0,1.0273573724387304,1.0273573724387304,1.0,1.0273573724387304,1.0273573724387304,-0.10419344056243401,0.9010509807532926,0.8205380003567981,-0.19779505586593718,0.8205380003567981,-0.19779505586593718,10.10936509695136,2.0
260209-1,PMBTA-9,1.0634793089594212,1.0634793089594212,0.7,1,1.0,0.8155225270905708,0.8155225270905708,0.8155225270905708,-0.20392623364769477,PBS,GOx,1.0634793089594212,0.8155225270905708,1.0,1.0047177581357973,1.0047177581357973,1.0,1.0047177581357973,1.0047177581357973,-0.1423803337881857,0.8672913335511211,0.8193699651276783,-0.1992195692547641,0.8193699651276783,-0.1992195692547641,10.322447587276969,3.0
260209-1,PMBTA-4,1.0297308155885896,1.0297308155885896,0.7,1,1.0,0.8427370985971165,0.8427370985971165,0.8427370985971165,-0.17110023368035054,PBS,GOx,1.0297308155885896,0.8427370985971165,1.0,1.0,1.0,1.0,1.0,1.0,-0.14180280968387166,0.8677923598651704,0.8427370985971165,-0.17110023368035054,0.8427370985971165,-0.17110023368035054,10.666915065065378,4.0
260209-1,PMBTA-8,1.0100441944556042,1.0100441944556042,0.7,1,1.0,0.8657730447788528,0.8657730447788528,0.8657730447788528,-0.14413247777046684,PBS,GOx,1.0100441944556042,0.8657730447788528,1.0,1.0,1.0,1.0,1.0,1.0,-0.13413839098786653,0.8744690375950321,0.8657730447788528,-0.14413247777046684,0.8657730447788528,-0.14413247777046684,10.958491740369036,5.0
260209-1,PMBTA-3,0.7162562895789087,0.7162562895789087,0.7,1,0.5130230723613456,1.179609067687257,1.179609067687257,0.6051666680902191,-0.502251374443525,PBS,GOx,0.7162562895789087,1.179609067687257,0.5130230723613456,1.0,0.5130230723613456,0.5130230723613456,1.0,0.5130230723613456,-0.16853414471378408,0.8449024139753105,0.6051666680902191,-0.502251374443525,0.6051666680902191,-0.502251374443525,14.930860117523228,6.0
260209-1,PMBTA-5,0.9995982322217755,0.9995982322217755,0.7,1,0.9991966258608985,0.8034924355426162,0.8034924355426162,0.8028469304989376,-0.21959120524973055,PBS,GOx,0.9995982322217755,0.8034924355426162,0.9991966258608985,1.0,0.9991966258608985,0.9991966258608985,1.0,0.9991966258608985,-0.2191893567412083,0.803169618171968,0.8028469304989376,-0.21959120524973055,0.8028469304989376,-0.21959120524973055,10.170177128339525,7.0
260209-1,PMBTA-6,1.0316631272838581,1.0316631272838581,0.7,1,1.0,0.759796818775084,0.759796818775084,0.759796818775084,-0.2747042251614571,PBS,GOx,1.0316631272838581,0.759796818775084,1.0,1.0,1.0,1.0,1.0,1.0,-0.24353203844151777,0.7838543621578299,0.759796818775084,-0.2747042251614571,0.759796818775084,-0.2747042251614571,9.617101402172,8.0
260209-1,PMBTA-2,0.844975033002353,0.844975033002353,0.7,1,0.7139828063973276,0.8938563721051337,0.8938563721051337,0.6381980810717572,-0.44910657192446785,PBS,GOx,0.844975033002353,0.8938563721051337,0.7139828063973276,1.0,0.7139828063973276,0.7139828063973276,1.0,0.7139828063973276,-0.2806583731202135,0.7552863175188989,0.6381980810717572,-0.44910657192446785,0.6381980810717572,-0.44910657192446785,11.313955464266492,9.0
260209-1,PMPC,0.6250167403240924,0.6250167403240924,0.7,0,0.39064592568535395,1.130384649091661,,0.44158015762492586,-0.8173957179433352,ETOH,GOx,0.6250167403240924,1.130384649091661,0.39064592568535395,1.0,0.39064592568535395,0.39064592568535395,1.0,0.39064592568535395,-0.34741887285744866,0.7065093286876629,0.44158015762492586,-0.8173957179433352,0.44158015762492586,-0.8173957179433352,14.307803777461158,10.0
260209-1,PMBTA-1,1.0799517878666127,1.0799517878666127,0.7,1,1.0,0.6075840927854106,0.6075840927854106,0.6075840927854106,-0.4982646890090738,ETOH,GOx,1.0799517878666127,0.6075840927854106,1.0,1.0104831257533144,1.0104831257533144,1.0,1.0104831257533144,1.0104831257533144,-0.421348289733626,0.6561615272829181,0.6139534732357935,-0.4878361301951134,0.6139534732357935,-0.4878361301951134,7.690474198199671,11.0
