polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-1,1.0799517878666127,0.6075840927854106,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.6139534732357935,10,9,1.0
PMPC,0.6250167403240924,1.130384649091661,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.5585521468272938,11,11,0.0
PMTAC,0.8285263239059948,0.4371540033088563,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.32968100612755574,12,12,0.0
PMBTA-10,0.5710459354493101,0.7600383753542825,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.3279760174261712,13,13,0.0
PMBTA-11,1.1126289004955134,0.8536327745538196,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8723445032878536,1,1,0.0
PMBTA-8,1.0100441944556042,0.8657730447788528,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8657730447788528,2,2,0.0
PMBTA-4,1.0297308155885896,0.8427370985971165,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8427370985971165,3,3,0.0
PMBTA-7,1.1281639212535153,0.7986879954041829,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8205380003567981,4,4,0.0
PMBTA-9,1.0634793089594212,0.8155225270905708,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8193699651276783,5,5,0.0
PMBTA-5,0.9995982322217755,0.8034924355426162,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8026856352827444,6,6,0.0
PMBTA-6,1.0316631272838581,0.759796818775084,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.759796818775084,7,7,0.0
PMBTA-1,1.0799517878666127,0.6075840927854106,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.6139534732357935,8,9,-1.0
PMBTA-2,0.844975033002353,0.8938563721051337,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.5866477811682997,9,8,1.0
PMBTA-3,0.7162562895789087,1.179609067687257,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.5121642066189482,10,10,0.0
PMPC,0.6250167403240924,1.130384649091661,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.349104442111019,11,11,0.0
PMTAC,0.8285263239059948,0.4371540033088563,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.2731493920684935,12,12,0.0
PMBTA-10,0.5710459354493101,0.7600383753542825,,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.18728937167606718,13,13,0.0
