select_method_used,count,fraction
initial_positive,34,0.3119266055045872
initial_positive_promote_long_ext,31,0.28440366972477066
initial_positive_tangent,22,0.2018348623853211
initial_positive_ext,12,0.11009174311926606
full_range_outlier_skip,2,0.01834862385321101
initial_positive_intskip1,2,0.01834862385321101
initial_positive_promote_long_ext_tangent,2,0.01834862385321101
initial_positive_post_broad_overfit_ext,2,0.01834862385321101
initial_positive_promote_long_ext_intskip1,1,0.009174311926605505
initial_positive_ext_post_broad_overfit_ext,1,0.009174311926605505
