run_id,polymer_id,heat_min,abs_activity,REA_percent
260205-R2,GOx,0.0,6.72,100.0
260205-R2,GOx,5.0,4.630476190476188,68.90589569160996
260205-R2,GOx,10.0,3.8800000000000003,57.73809523809525
260205-R2,GOx,15.0,2.4087301587301595,35.844198790627374
260205-R2,GOx,20.0,1.3968922305764413,20.78708676453038
260205-R2,GOx,40.0,0.40528138528138524,6.0309729952587094
260205-R2,GOx,60.0,0.29333333333333333,4.365079365079365
260205-R2,PMBTA-4,0.0,4.062857142857141,100.0
260205-R2,PMBTA-4,5.0,6.106666666666665,150.30473511486173
260205-R2,PMBTA-4,10.0,4.913333333333332,120.93295827473044
260205-R2,PMBTA-4,15.0,3.866666666666666,95.17112048757619
260205-R2,PMBTA-4,20.0,2.409523809523809,59.30614158462261
260205-R2,PMBTA-4,40.0,0.6374891774891774,15.690661893193543
260205-R2,PMBTA-4,60.0,0.3466666666666667,8.532583216127524
260205-R2,PMBTA-5,0.0,6.206666666666666,100.0
260205-R2,PMBTA-5,5.0,5.786666666666664,93.23308270676688
260205-R2,PMBTA-5,10.0,4.406666666666665,70.99892588614391
260205-R2,PMBTA-5,15.0,2.9085714285714275,46.862053091913445
260205-R2,PMBTA-5,20.0,1.9944444444444456,32.13390619405659
260205-R2,PMBTA-5,40.0,0.5290909090909092,8.5245581486183
260205-R2,PMBTA-5,60.0,0.29333333333333306,4.726100966702466
260205-R2,PMBTA-6,0.0,5.28,100.0
260205-R2,PMBTA-6,5.0,5.733333333333332,108.58585858585855
260205-R2,PMBTA-6,10.0,4.866666666666665,92.17171717171713
260205-R2,PMBTA-6,15.0,3.246666666666667,61.48989898989899
260205-R2,PMBTA-6,20.0,2.0432234432234426,38.69741369741369
260205-R2,PMBTA-6,40.0,0.7116013071895425,13.477297484650425
260205-R2,PMBTA-6,60.0,0.30276750700280114,5.734233087174264
260205-R2,PMBTA-7,0.0,6.239999999999999,99.99999999999999
260205-R2,PMBTA-7,5.0,5.7333333333333325,91.88034188034187
260205-R2,PMBTA-7,10.0,3.733333333333334,59.829059829059844
260205-R2,PMBTA-7,15.0,2.8933333333333326,46.36752136752136
260205-R2,PMBTA-7,20.0,1.9922222222222226,31.926638176638185
260205-R2,PMBTA-7,40.0,0.5031705477285446,8.063630572572832
260205-R2,PMBTA-7,60.0,0.22444444444444445,3.596866096866097
260205-R2,PMBTA-8,0.0,4.96,100.0
260205-R2,PMBTA-8,5.0,5.933333333333333,119.62365591397848
260205-R2,PMBTA-8,10.0,3.6000000000000005,72.58064516129033
260205-R2,PMBTA-8,15.0,2.29920634920635,46.35496671786996
260205-R2,PMBTA-8,20.0,1.6092929292929288,32.445421961550984
260205-R2,PMBTA-8,40.0,0.295930735930736,5.966345482474516
260205-R2,PMBTA-8,60.0,0.19285714285714278,3.8882488479262656
260205-R2,PMPC,0.0,5.559999999999999,100.0
260205-R2,PMPC,5.0,4.166666666666665,74.94004796163068
260205-R2,PMPC,10.0,3.1371428571428557,56.42343268242547
260205-R2,PMPC,15.0,1.9044444444444444,34.25259792166268
260205-R2,PMPC,20.0,1.4751515151515155,26.53150207107043
260205-R2,PMPC,40.0,0.4471861471861472,8.042916316297612
260205-R2,PMPC,60.0,0.19316017316017317,3.474103833816065
260205-R2,PMTAC,0.0,2.6266666666666665,99.99999999999999
260205-R2,PMTAC,5.0,3.7133333333333325,141.3705583756345
260205-R2,PMTAC,10.0,3.58,136.29441624365484
260205-R2,PMTAC,15.0,1.6500000000000006,62.817258883248755
260205-R2,PMTAC,20.0,1.4127272727272728,53.784033225657595
260205-R2,PMTAC,40.0,0.28995670995670997,11.038961038961041
260205-R2,PMTAC,60.0,0.13990196078431372,5.326216781128695
260205-R2,PMBTA-1,0.0,2.9599999999999995,100.0
260205-R2,PMBTA-1,5.0,2.7866666666666653,94.14414414414411
260205-R2,PMBTA-1,10.0,2.400000000000001,81.08108108108112
260205-R2,PMBTA-1,15.0,1.5648484848484854,52.86650286650289
260205-R2,PMBTA-1,20.0,0.9956301625366375,33.63615413975127
260205-R2,PMBTA-1,40.0,0.32165413533834597,10.866693761430609
260205-R2,PMBTA-1,60.0,0.12401002506265671,4.189527873738403
260205-R2,PMBTA-2,0.0,3.886666666666667,100.0
260205-R2,PMBTA-2,5.0,2.9923809523809513,76.99093359470714
260205-R2,PMBTA-2,10.0,1.9166666666666665,49.31389365351629
260205-R2,PMBTA-2,15.0,1.1574229691876752,29.77932167721291
260205-R2,PMBTA-2,20.0,1.1071428571428574,28.48566527811811
260205-R2,PMBTA-2,40.0,0.23095238095238096,5.942171036510659
260205-R2,PMBTA-3,0.0,3.506666666666667,100.0
260205-R2,PMBTA-3,5.0,3.0552380952380944,87.12656165127646
260205-R2,PMBTA-3,10.0,2.138095238095239,60.97229766431289
260205-R2,PMBTA-3,15.0,1.5260606060606061,43.5188385758728
260205-R2,PMBTA-3,20.0,0.9864160401002507,28.129734983847452
260205-R2,PMBTA-3,40.0,0.31555555555555553,8.998732572877058
260205-R2,PMBTA-3,60.0,0.12827067669172937,3.6579090311329665
