run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
260211-1,plate1,6.0,626,737,844,625,622,298,307,746,899,813,595,480,297,277,791,932,881,763,611,294,269,1016,995,934,617,426,262,254,993,1017,947,702,477,234,217,1029,1227,999,721,538,251,231,1252,1283,1210,923,627,306,239,1438,1387,1253,986,537,271,235
260211-1,plate1,36.0,1616,1505,1588,999,902,323,316,1620,1747,1403,884,616,301,278,1787,1806,1528,1195,855,307,271,1993,1806,1556,914,562,271,259,2008,1835,1562,1077,645,241,225,1865,2062,1595,1061,735,268,239,2343,2161,1888,1345,837,344,248,2464,2219,1904,1410,713,286,237
260211-1,plate1,66.0,2580,2256,2270,1358,1169,337,323,2475,2570,1965,1177,759,312,285,2740,2634,2130,1607,1108,322,274,2953,2517,2168,1209,693,286,260,2996,2596,2193,1425,806,256,226,2643,2852,2153,1391,924,282,245,3369,2966,2556,1753,1057,364,252,3358,2945,2502,1832,866,302,243
260211-1,plate1,96.0,3512,2975,2905,1711,1448,356,331,3272,3305,2515,1458,886,316,287,3581,3425,2699,2004,1334,331,278,3817,3191,2729,1498,820,287,266,3843,3292,2752,1760,963,265,231,3346,3572,2684,1722,1112,299,248,4271,3719,3168,2164,1260,395,257,4188,3636,3083,2225,1025,321,248
260211-1,plate1,126.0,4261,3716,3542,2035,1712,376,329,4015,3995,3031,1746,1021,328,290,4313,4153,3227,2413,1561,345,279,4577,3817,3206,1770,944,300,271,4639,3954,3285,2074,1120,280,233,4014,4238,3226,2045,1296,313,254,5097,4421,3730,2529,1473,412,263,4960,4277,3630,2602,1187,343,255
260211-1,plate1,156.0,4919,4377,4128,2392,1976,394,331,4624,4614,3528,2016,1150,339,296,4949,4795,3726,2766,1776,358,278,5244,4401,3717,2035,1063,309,272,5344,4548,3783,2381,1273,287,234,4621,4866,3725,2338,1493,329,258,5889,5067,4285,2902,1680,437,267,5622,4870,4136,2972,1345,357,259
260211-1,plate1,186.0,5553,4919,4658,2729,2226,412,338,5212,5193,3978,2280,1291,346,302,5578,5427,4209,3151,1999,377,281,5880,4946,4160,2291,1194,316,272,6009,5116,4267,2681,1427,295,239,5232,5402,4199,2646,1666,346,262,6590,5654,4771,3264,1889,453,274,6212,5419,4633,3325,1503,373,262
260211-1,plate1,216.0,6140,5466,5155,3033,2450,432,341,5758,5718,4389,2520,1407,356,302,6117,5897,4621,3468,2209,386,286,6462,5423,4600,2537,1318,327,276,6564,5644,4699,2961,1578,308,247,5802,5964,4630,2946,1842,359,270,7181,6176,5248,3606,2077,472,280,6820,5892,5079,3671,1644,387,266
260211-1,plate1,246.0,6691,5985,5622,3325,2662,448,350,6239,6206,4785,2792,1533,364,306,6658,6353,5072,3810,2417,397,286,6950,5858,4990,2776,1443,343,280,7054,6122,5158,3258,1722,320,242,6261,6437,5030,3235,2022,374,272,7745,6707,5715,3933,2273,491,284,7311,6369,5494,4003,1805,408,272
260211-1,plate1,276.0,7201,6430,6117,3581,2861,460,348,6731,6640,5231,3018,1654,373,307,7101,6783,5462,4123,2609,415,287,7373,6295,5421,3014,1550,362,283,7540,6575,5526,3533,1868,328,249,6773,6880,5443,3521,2196,393,283,8209,7181,6106,4263,2462,506,290,7695,6765,5897,4339,1960,429,278
