run_id,polymer_id,reference_polymer_id,fog_activity_bonus_penalty,fog_abs_bonus_penalty,fog_abs_modulated,fog_solvent_balanced,fog_activity_bonus_penalty_sem,fog_abs_bonus_penalty_sem,fog_abs_modulated_sem,fog_solvent_balanced_sem,log_fog_activity_bonus_penalty,log_fog_abs_bonus_penalty,log_fog_abs_modulated,log_fog_solvent_balanced,stock_solvent_group,solvent_group,solvent_control_polymer_id,solvent_control_abs_activity_at_0,solvent_control_t50_min,abs0_vs_solvent_control,fog_vs_solvent_control,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_fog_activity_bonus_penalty,rank_objective_solvent_balanced,rank_objective_abs_bonus_penalty,rank_objective_abs_modulated
260216-1,PMBTA-4,GOX,1.5300938045742702,1.5300938045742702,1.5300938045742702,1.5300938045742702,,,,,0.4253290437042135,0.4253290437042135,0.4253290437042135,0.4253290437042135,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.2773412947831553,1.4173185431243478,1.0,1.0795694531741042,1.0795694531741042,1.0,1.0795694531741042,1.0795694531741042,1.4173185431243478,27.09666666666666,21.213333333333328,21.213333333333328,1.2773412947831553,12.407674608811318,True,1,1,1,1
260216-1,PMBTA-6,GOX,1.4884058709351933,1.4884058709351933,1.4884058709351933,1.4884058709351933,,,,,0.39770566194317536,0.39770566194317536,0.39770566194317536,0.39770566194317536,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.2719987429289756,1.381095368453589,1.0,1.0776995600251413,1.0776995600251413,1.0,1.0776995600251413,1.0776995600251413,1.381095368453589,26.98333333333333,21.213333333333328,21.213333333333328,1.2719987429289756,12.090564974711596,True,2,2,2,2
260216-1,PMBTA-5,GOX,1.4213254854172577,1.4213254854172577,1.4213254854172577,1.4213254854172577,,,,,0.3515898766632513,0.3515898766632513,0.3515898766632513,0.3515898766632513,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,0.9924575738529227,1.4430110029686187,0.9849720358980294,1.0,0.9849720358980294,0.9849720358980294,1.0,0.9849720358980294,1.4430110029686187,21.053333333333327,21.213333333333328,21.213333333333328,0.9924575738529227,12.632594887455902,True,3,3,3,3
260216-1,PMBTA-3,GOX,1.3082247488208987,1.3082247488208987,1.3082247488208987,1.3082247488208987,,,,,0.26867106459022816,0.26867106459022816,0.26867106459022816,0.26867106459022816,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.2027027027027026,1.2418527536751522,1.0,1.053445945945946,1.053445945945946,1.0,1.053445945945946,1.053445945945946,1.2418527536751522,25.513333333333325,21.213333333333328,21.213333333333328,1.2027027027027026,10.871589138805012,True,4,4,4,4
260216-1,PMBTA-11,GOX,1.2692113076704539,1.2692113076704539,1.2692113076704539,1.2692113076704539,,,,,0.23839568997688967,0.23839568997688967,0.23839568997688967,0.23839568997688967,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.4435889377749844,1.1486075182538045,1.0,1.105,1.105,1.0,1.105,1.105,1.1486075182538045,30.623333333333328,21.213333333333328,21.213333333333328,1.4435889377749844,10.055289552842009,True,5,5,5,5
260216-1,PMBTA-2,GOX,1.178518228304689,1.178518228304689,1.178518228304689,1.178518228304689,,,,,0.1642579106521892,0.1642579106521892,0.1642579106521892,0.1642579106521892,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.3114393463230676,1.0797197951912794,1.0,1.0915037712130737,1.0915037712130737,1.0,1.0915037712130737,1.0915037712130737,1.0797197951912794,27.82,21.213333333333328,21.213333333333328,1.3114393463230676,9.452223674357466,True,6,6,6,6
260216-1,PMBTA-7,GOX,1.1038827153079538,1.1038827153079538,1.1038827153079538,1.1038827153079538,,,,,0.09883370607734594,0.09883370607734594,0.09883370607734594,0.09883370607734594,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.3054682589566309,1.0132812926267185,1.0,1.0894138906348207,1.0894138906348207,1.0,1.0894138906348207,1.0894138906348207,1.0132812926267185,27.693333333333324,21.213333333333328,21.213333333333328,1.3054682589566309,8.870599080989379,True,7,7,7,7
260216-1,PMPC,GOX,1.0962075147543382,1.0962075147543382,1.0962075147543382,1.0962075147543382,,,,,0.09185650888309961,0.09185650888309961,0.09185650888309961,0.09185650888309961,ETOH,ETOH,GOx with EtOH,18.89,11.465711107860628,1.179107111346391,1.048814233160521,1.0,1.0451874889712367,1.0451874889712367,1.0,1.0451874889712367,1.0451874889712367,1.3736517411797393,22.273333333333326,21.213333333333328,21.213333333333328,1.049968573224387,12.025401003230913,True,8,8,8,8
260216-1,PMBTA-1,GOX,1.090045611666707,1.090045611666707,1.090045611666707,1.090045611666707,,,,,0.0862195409313373,0.0862195409313373,0.0862195409313373,0.0862195409313373,ETOH,ETOH,GOx with EtOH,18.89,11.465711107860628,1.4152108699488262,0.9864666168929476,1.0,1.105,1.105,1.0,1.105,1.105,1.2919938946931626,26.733333333333327,21.213333333333328,21.213333333333328,1.2602137020741673,11.310541246843163,True,9,9,9,9
260216-1,PMTAC,GOX,1.0831671985111266,1.0831671985111266,1.0831671985111266,1.0831671985111266,,,,,0.07988934069292378,0.07988934069292378,0.07988934069292378,0.07988934069292378,PBS,PBS,GOx,21.213333333333328,8.754330259067764,0.7016027655562542,2.2004571472598777,0.4922464406361842,1.0,0.4922464406361842,0.4922464406361842,1.0,0.4922464406361842,2.2004571472598777,14.883333333333336,21.213333333333328,21.213333333333328,0.7016027655562542,19.26352858803908,True,10,10,10,10
260216-1,PMBTA-9,GOX,1.070874391213982,1.070874391213982,1.070874391213982,1.070874391213982,,,,,0.06847550280790399,0.06847550280790399,0.06847550280790399,0.06847550280790399,DMSO,PBS,GOx,21.213333333333328,8.754330259067764,1.405876807039598,0.9691170961212507,1.0,1.105,1.105,1.0,1.105,1.105,0.9691170961212507,29.82333333333333,21.213333333333328,21.213333333333328,1.405876807039598,8.483971119154148,True,11,11,11,11
