run_id,polymer_id,polymer_label,n_points,y0_REA_percent,t50_linear_min,t50_exp_min,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260203-1,GOx,GOx,7,104.32786534140769,14.47610826079919,13.931762839046277,exp,0.04975301320930294,20.09928515873321,,0.9799225413275371,exp
260203-1,PMBTA-1,PMBTA-1,6,104.63726906307325,14.434546435487675,14.18705809121757,exp,0.048857710746178916,20.467598353003233,,0.9565324388526334,exp
260203-1,PMBTA-2,PMBTA-2,7,104.20236306835953,14.49239065582442,13.911504762016348,exp,0.04982546406140753,20.070058931464185,,0.9806050050509743,exp
260203-1,PMBTA-3,PMBTA-3,7,102.58368925591775,14.600394580635593,14.569316693880607,exp,0.04757581945151075,21.01908094340234,,0.9859809119079156,exp
260203-1,PMBTA-4,PMBTA-4,7,104.01491055996914,14.396860941378817,14.092329913092753,exp,0.04918613067069651,20.330934480190113,,0.9788256825501563,exp
260203-1,PMBTA-5,PMBTA-5,7,105.28992365013336,14.623231794553135,13.981429266612048,exp,0.04957627488165288,20.170938667481018,,0.9764882929298332,exp
260203-1,PMPC,PMPC,6,102.9649522740294,13.316149793874766,13.168355727148988,exp,0.052637337183327665,18.997921504219626,,0.9492330151672322,exp
260203-1,PMTAC,PMTAC,4,100.0,,,,,,,,polyline
260203-1,PMBTA-6,PMBTA-6,7,100.0,,,,,,,,polyline
260203-1,PMBTA-7,PMBTA-7,7,100.0,3.105852524825692,,,,,,,polyline
260203-1,PMBTA-8,PMBTA-8,7,100.0,,,,,,,,polyline
260203-1,PMBTA-9,PMBTA-9,7,100.0,,,,,,,,polyline
260203-1,PMBTA-10,PMBTA-10,7,100.0,,,,,,,,polyline
260203-1,PMBTA-11,PMBTA-11,7,100.0,,,,,,,,polyline
