polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-5,1.0421292146452457,0.8846986468394223,0.0959848994715583,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8846986468394223,7,6,1.0
PMBTA-2,0.973000659961978,0.9051146761870128,0.013307198652203367,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8687069762483549,8,7,1.0
PMBTA-6,1.1202805330916754,0.7898453473265226,0.03551704908059799,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.8092741105510531,9,9,0.0
PMBTA-1,1.1113562711163205,0.7385066702318837,0.1547491285959215,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.7543658756498691,10,10,0.0
PMPC,0.6435909811763081,1.2572410278454142,0.14994292391626227,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.6491326733217646,11,11,0.0
PMBTA-10,0.603875060332345,1.0071112015359112,0.292037517875559,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.47260473363576627,12,13,-1.0
PMTAC,0.8253631954935136,0.6186704343799122,0.21455053881422245,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.4639028177897218,13,12,1.0
PMBTA-11,0.9801321893992374,1.1188821751493807,0.31352204030305975,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0641331838033428,1,1,0.0
PMBTA-4,0.9584125451876947,1.0619807433283135,0.2591437140489972,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9549878942399391,2,2,0.0
PMBTA-7,1.0986692408467214,0.9306607604192823,0.15599043940935725,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9465138538626859,3,3,0.0
