run_id,polymer_id,polymer_label,n_points,y0_REA_percent,t50_linear_min,t50_exp_min,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260205-R2,GOx,GOx,7,100.33058425784033,11.729432476157278,10.192986165916494,exp,0.06800236645838924,14.705370593417534,,0.9885403565947333,exp
260205-R2,PMBTA-4,PMBTA-4,7,138.54214317437902,18.610771523171557,20.55663442243077,exp,0.033718903898179185,29.656954538608232,,0.7724680628370608,exp
260205-R2,PMBTA-5,PMBTA-5,7,108.15374242583282,13.50543643691747,13.218807887048255,exp,0.05243643651399826,19.070708585108434,,0.9688682701286451,exp
260205-R2,PMBTA-6,PMBTA-6,7,116.14924529833912,15.749211044101331,16.314100915638154,exp,0.04248761143162462,23.536272487553262,,0.9118823603116536,exp
260205-R2,PMBTA-7,PMBTA-7,7,106.43662588881926,12.455420271441502,12.48034345961325,exp,0.05553911098704851,18.005329617775047,,0.9777134598695372,exp
260205-R2,PMBTA-8,PMBTA-8,7,118.1395204272267,12.575888546949423,12.874571609696245,exp,0.05383846558730656,18.57408061487861,,0.8871760741457393,exp
260205-R2,PMPC,PMPC,7,101.38507229686431,11.292440405567334,10.6499419074,exp,0.06508459732332617,15.36461837556153,,0.9952006840963767,exp
260205-R2,PMTAC,PMTAC,7,136.318204279736,14.636496331069434,18.081786873338476,exp,0.03833399792926373,26.086504252576578,,0.7419062169758205,exp
260205-R2,PMBTA-1,PMBTA-1,7,109.59712762513523,14.657613002156019,14.54647074579535,exp,0.0476505396169926,20.986121207395335,,0.9532336829476828,exp
260205-R2,PMBTA-2,PMBTA-2,6,102.0039696782153,9.695037621584845,9.845675579592816,exp,0.07040118018885724,14.204307332880125,,0.9870698088274235,exp
260205-R2,PMBTA-3,PMBTA-3,7,105.22709472693175,12.394582718099487,12.008442610578882,exp,0.05772165492545342,17.324520603081872,,0.9846227162911639,exp
