run_id,polymer_id,t50_min,t50_sem_min,t50_censored,fog,fog_sem,log_fog,fog_native_constrained,fog_native_constrained_sem,log_fog_native_constrained,native_activity_rel_at_0,native_activity_rel_at_0_sem,native_activity_min_rel_threshold,native_activity_feasible,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_0,abs_activity_at_0_sem,gox_abs_activity_at_0_ref,gox_abs_activity_at_0_ref_sem,abs_activity_at_20,abs_activity_at_20_sem,gox_abs_activity_at_20_ref,gox_abs_activity_at_20_ref_sem,native_0,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,n_fog_native_constrained,n_functional,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_constraint_reason,fog_missing_reason
round_R3-group_mean,GOx,13.954725321561801,2.2473791635868956,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7,1,1.0,0.0,25.546095238095234,3.252259167349671,25.546095238095234,3.252259167349671,8.304015873015874,0.5629143850873515,8.304015873015874,0.5629143850873515,1.0,rea50,260209-1|260209-2|260209-3|260211-1|260211-2,5,5,5,5,5,50.0,35.07552078906812,True,nan,
round_R3-group_mean,GOx with DMSO,11.41290793194022,1.2450212597047583,0,0.9608999840489019,0.00569683157512704,-0.039884950299079604,0.9608999840489019,0.00569683157512704,-0.039884950299079604,1.006605567991441,0.03914251627282244,0.6999999999999998,1,0.8508338966397742,0.0988143781142267,26.92888888888889,1.8183654985782551,26.95333333333333,2.8124136200726877,6.568571428571428,0.3442946056943142,7.925396825396825,0.9321873971532963,1.006605567991441,rea50,260209-1|260209-3|260211-2,3,3,3,3,3,50.0,24.68916873131646,True,nan,
round_R3-group_mean,GOx with EtOH,11.669799761096783,0.5633443876490132,0,0.9218495737066162,0.030583538823985568,-0.08137322089832645,0.9218495737066162,0.030583538823985568,-0.08137322089832645,0.8899315765883775,0.013502559751960906,0.7,1,0.5361747215968393,0.07999886875467126,28.743333333333332,0.6333333333333311,32.294999999999995,0.22166666666666401,4.905519480519481,0.7873376623376629,9.13333333333333,0.10571428571428497,0.8899315765883775,rea50,260211-1|260211-2,2,2,2,2,2,50.0,17.014538701811595,True,nan,
round_R3-group_mean,PMBTA-1,9.49607041098812,0.9121086064514288,0,0.8099491199545574,0.06894401609279124,-0.210783848159506,0.8099491199545574,0.06894401609279124,-0.210783848159506,1.0346680360410385,0.04719591523853011,0.7,1,0.6918938320065925,0.10786678384053551,28.88333333333333,1.1729679039529202,28.233333333333327,2.3650021533151255,5.483268398268397,0.5809477598616645,8.20095238095238,0.714435116650385,1.0346680360410385,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,4,4,50.0,19.27343929835887,True,nan,
round_R3-group_mean,PMBTA-10,14.621392376141031,1.8237476819970753,0,1.0860068676706909,0.16628551356435087,0.08250754531374739,0.8651093377358738,0.10677380448497091,-0.1448993780315277,0.6892889022308171,0.044065092135797006,0.7000000000000001,0,0.7857255366314063,0.10147711861898953,17.371194083694085,1.8430252323473695,25.546095238095234,2.65545849043186,6.6589078465394245,1.1066308070052795,8.304015873015873,0.45961767077885596,0.6892889022308171,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3,6,6,5,2,6,50.0,38.24079708195538,True,nan;native_activity_below_threshold,
round_R3-group_mean,PMBTA-11,13.98816172418652,0.7494813374908803,0,1.072025377810505,0.17678895630795463,0.06954973569909643,1.072025377810505,0.17678895630795463,0.06954973569909643,1.1646779591796723,0.1250737919989929,0.7000000000000001,1,1.075795215505786,0.09537250838398109,28.444693877551014,1.7964968954113636,25.546095238095234,2.2442720414434496,8.877437641723356,0.8169980594092108,8.304015873015873,0.38844783000716054,1.1646779591796723,rea50,260209-1|260209-2|260209-3|260211-1|260211-2|260211-3|260211-plate7,7,7,5,5,7,50.0,31.280732824660653,True,nan,
round_R3-group_mean,PMBTA-2,10.48780748446373,0.696135519781588,0,0.8897237070578392,0.014985721367074246,-0.11684430596093746,0.8897237070578392,0.014985721367074246,-0.11684430596093746,0.9751559273740568,0.05436894827707088,0.7,1,0.6031075994922688,0.057294855698889376,27.475357142857135,2.504123978567714,28.233333333333327,2.3650021533151255,4.854978354978355,0.3468886588792056,8.20095238095238,0.714435116650385,0.9751559273740568,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,4,4,50.0,17.862725303540202,True,nan,
round_R3-group_mean,PMBTA-3,12.525521951419739,1.1221434430049142,0,1.0607387273967204,0.05751376423819243,0.05896557803154668,1.0607387273967204,0.05751376423819243,0.05896557803154668,0.8897768816167464,0.07749299721797777,0.7,1,0.7300685568453467,0.053525361576320235,25.12607142857142,3.023494961609796,28.233333333333327,2.3650021533151255,5.915874819624818,0.4721331746879371,8.20095238095238,0.714435116650385,0.8897768816167464,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,4,4,50.0,24.119020546271283,True,nan,
round_R3-group_mean,PMBTA-4,12.001155240395821,0.5994970799803516,0,1.0376722961737221,0.11210690902338676,0.0369800279360306,1.0376722961737221,0.11210690902338676,0.0369800279360306,0.9920652038492743,0.03735320306435826,0.7,1,0.892667932400359,0.0816058294992832,28.179047619047612,3.068574218171416,28.233333333333327,2.3650021533151255,7.190030525030524,0.5063890611199788,8.20095238095238,0.714435116650385,0.9920652038492743,rea50,260209-1|260209-3|260211-1|260211-2,4,4,4,4,4,50.0,26.171845681483102,True,nan,
round_R3-group_mean,PMBTA-5,11.88824020471834,1.0125860611516484,0,0.9988308846184205,0.008131778801089635,-0.0011697993300956665,0.9988308846184205,0.008131778801089635,-0.0011697993300956665,1.0584426192496126,0.07633957367239201,0.7,1,0.8302635207507449,0.09666564620893692,29.647499999999994,1.4495250658980219,28.39735714285714,2.292280120036606,6.716049783549783,0.8792543142216325,8.17338492063492,0.7122196257505347,1.0584426192496126,rea50,260209-3|260211-1|260211-2|260211-plate7,4,4,3,3,4,50.0,22.568574308640432,True,nan,
