run_id,polymer_id,reference_polymer_id,objective_loglinear_main,objective_loglinear_main_exp,abs0_vs_solvent_control,fog_vs_solvent_control,fog_sem,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,solvent_group,solvent_control_polymer_id,use_for_bo,rank_objective_loglinear_main
260216-1,PMBTA-4,GOX,0.5935528823238122,1.8104091732958203,1.2773412947831553,1.4173261137722475,,1.4173261137722475,27.09666666666666,21.213333333333328,21.213333333333328,1.2773412947831553,12.407674608811318,PBS,GOx,True,1
260216-1,PMBTA-6,GOX,0.5634717477448176,1.7567609562772173,1.2719987429289756,1.3811027456143556,,1.3811027456143556,26.98333333333333,21.213333333333328,21.213333333333328,1.2719987429289756,12.090564974711596,PBS,GOx,True,2
260216-1,PMBTA-11,GOX,0.5056880273355551,1.6581259640767492,1.4435889377749844,1.1486136535740101,,1.1486136535740101,30.623333333333328,21.213333333333328,21.213333333333328,1.4435889377749844,10.055289552842009,PBS,GOx,True,3
260216-1,PMTAC,GOX,0.43268442124539463,1.5413897140927604,0.7016027655562542,2.1969550146665897,,2.1969550146665897,14.883333333333336,21.213333333333328,21.213333333333328,0.7016027655562542,19.232767030326272,PBS,GOx,True,4
260216-1,PMBTA-3,GOX,0.40118103870844546,1.4935876412027727,1.2027027027027026,1.241859387067474,,1.241859387067474,25.513333333333325,21.213333333333328,21.213333333333328,1.2027027027027026,10.871589138805012,PBS,GOx,True,5
260216-1,PMBTA-2,GOX,0.3478212481177039,1.415979118184159,1.3114393463230676,1.0797137680474462,,1.0797137680474462,27.82,21.213333333333328,21.213333333333328,1.3114393463230676,9.452120421975826,PBS,GOx,True,6
260216-1,PMBTA-5,GOX,0.3591868776354777,1.4321644160649876,0.9924575738529227,1.4430485028241895,,1.4430485028241895,21.053333333333327,21.213333333333328,21.213333333333328,0.9924575738529227,12.632855694812978,PBS,GOx,True,7
260216-1,PMBTA-1,GOX,0.3336527506525619,1.3960582790685436,1.4152108699488262,0.9864666168929476,,1.292000795915836,26.733333333333327,21.213333333333328,21.213333333333328,1.2602137020741673,11.310541246843163,ETOH,GOx with EtOH,True,8
260216-1,PMBTA-9,GOX,0.30929667944269906,1.3624665263578266,1.405876807039598,0.9691222726881868,,0.9691222726881868,29.82333333333333,21.213333333333328,21.213333333333328,1.405876807039598,8.483971119154148,PBS,GOx,True,9
260216-1,PMBTA-7,GOX,0.2797610065237006,1.322813630728167,1.3054682589566309,1.0132867050979846,,1.0132867050979846,27.693333333333324,21.213333333333328,21.213333333333328,1.3054682589566309,8.870599080989379,PBS,GOx,True,10
260216-1,PMBTA-8,GOX,0.25080609658648856,1.2850608824797485,1.3199245757385296,0.9735866019167996,,0.9735866019167996,28.0,21.213333333333328,21.213333333333328,1.3199245757385296,8.523053122848983,PBS,GOx,True,11
260216-1,PMBTA-10,GOX,0.24949674945510064,1.2833793927667083,0.7750890425309033,1.655783171151641,,1.655783171151641,16.442222222222224,21.213333333333328,21.213333333333328,0.7750890425309033,14.495195291164034,PBS,GOx,True,12
260216-1,PMPC,GOX,0.2127781517178019,1.2371101700320224,1.179107111346391,1.0491923576132107,,1.3741543179379452,22.273333333333326,21.213333333333328,21.213333333333328,1.049968573224387,12.02973646896827,ETOH,GOx with EtOH,True,13
260216-1,GOx with DMSO,GOX,0.06390228053864402,1.0659882258764846,1.0377121307353865,1.027248496286788,,1.027248496286788,22.01333333333333,21.213333333333328,21.213333333333328,1.0377121307353865,8.992824559193387,PBS,GOx,False,14
260216-1,GOx,GOX,0.0,1.0,1.0,1.0,,1.0,21.213333333333328,21.213333333333328,21.213333333333328,1.0,8.754283497809826,PBS,GOx,True,15
260216-1,GOx with EtOH,GOX,0.0,1.0,1.0,1.0,,1.3097258171647235,18.89,21.213333333333328,21.213333333333328,0.8904776869893152,11.465711107860628,ETOH,GOx with EtOH,False,16
