run_id,polymer_id,reference_polymer_id,fog_activity_bonus_penalty,fog_abs_bonus_penalty,fog_abs_modulated,fog_solvent_balanced,fog_activity_bonus_penalty_sem,fog_abs_bonus_penalty_sem,fog_abs_modulated_sem,fog_solvent_balanced_sem,log_fog_activity_bonus_penalty,log_fog_abs_bonus_penalty,log_fog_abs_modulated,log_fog_solvent_balanced,stock_solvent_group,solvent_group,solvent_control_polymer_id,solvent_control_abs_activity_at_0,solvent_control_t50_min,abs0_vs_solvent_control,fog_vs_solvent_control,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_fog_activity_bonus_penalty,rank_objective_solvent_balanced,rank_objective_abs_bonus_penalty,rank_objective_abs_modulated
260216-2,PMBTA-6,GOX,1.3846181744480324,1.3846181744480324,1.3846181744480324,1.3846181744480324,,,,,0.32542441531173255,0.32542441531173255,0.32542441531173255,0.32542441531173255,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.4041944927271066,1.2530481216724274,1.0,1.105,1.105,1.0,1.105,1.105,1.2530481216724274,29.236666666666665,20.820952380952377,20.820952380952377,1.4041944927271066,11.874092991494862,True,1,1,1,1
260216-2,PMBTA-4,GOX,1.3619698761485624,1.3619698761485624,1.3619698761485624,1.3619698761485624,,,,,0.3089320901175022,0.3089320901175022,0.3089320901175022,0.3089320901175022,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.405475253865154,1.232551924116346,1.0,1.105,1.105,1.0,1.105,1.105,1.232551924116346,29.263333333333325,20.820952380952377,20.820952380952377,1.405475253865154,11.67986760498047,True,2,2,2,2
260216-2,PMBTA-11,GOX,1.2748887249039635,1.2748887249039635,1.2748887249039635,1.2748887249039635,,,,,0.24285890021661463,0.24285890021661463,0.24285890021661463,0.24285890021661463,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.3333638276461441,1.1598571758034812,1.0,1.0991773396761504,1.0991773396761504,1.0,1.0991773396761504,1.0991773396761504,1.1598571758034812,27.76190476190476,20.820952380952377,20.820952380952377,1.3333638276461441,10.991000045522188,True,3,3,3,3
260216-2,PMBTA-3,GOX,1.2456786625602474,1.2456786625602474,1.2456786625602474,1.2456786625602474,,,,,0.21968049188807656,0.21968049188807656,0.21968049188807656,0.21968049188807656,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.2154423200073183,1.1774959792481134,1.0,1.0579048120025614,1.0579048120025614,1.0,1.0579048120025614,1.0579048120025614,1.1774959792481134,25.306666666666658,20.820952380952377,20.820952380952377,1.2154423200073183,11.158148288863966,True,4,4,4,4
260216-2,PMBTA-1,GOX,1.22001321472138,1.22001321472138,1.22001321472138,1.22001321472138,,,,,0.1988616904253384,0.1988616904253384,0.1988616904253384,0.1988616904253384,ETOH,ETOH,GOx with EtOH,18.852380952380944,10.801295065127643,1.3984844657741853,1.1040843572139185,1.0,1.105,1.105,1.0,1.105,1.105,1.2584773135311036,26.36476190476189,20.820952380952377,20.820952380952377,1.2662610923062845,11.925540919059324,True,5,5,5,5
260216-2,PMBTA-5,GOX,1.2199697146270614,1.2199697146270614,1.2199697146270614,1.2199697146270614,,,,,0.19882603436086352,0.19882603436086352,0.19882603436086352,0.19882603436086352,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.063351934864148,1.2142950984559084,1.0,1.0046731772024518,1.0046731772024518,1.0,1.0046731772024518,1.0046731772024518,1.2142950984559084,22.14,20.820952380952377,20.820952380952377,1.063351934864148,11.50686288004444,True,6,6,6,6
260216-2,PMBTA-10,GOX,1.195350194946493,1.195350194946493,1.195350194946493,1.195350194946493,,,,,0.17843919261709096,0.17843919261709096,0.17843919261709096,0.17843919261709096,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,0.8873054947979475,1.5182693148548712,0.7873110410986305,1.0,0.7873110410986305,0.7873110410986305,1.0,0.7873110410986305,1.5182693148548712,18.474545454545453,20.820952380952377,20.820952380952377,0.8873054947979475,14.387373253198046,True,7,7,7,7
260216-2,PMPC,GOX,1.1260877814562806,1.1260877814562806,1.1260877814562806,1.1260877814562806,,,,,0.11874948534342751,0.11874948534342751,0.11874948534342751,0.11874948534342751,ETOH,ETOH,GOx with EtOH,18.852380952380944,10.801295065127643,1.2040919424096999,1.0684632303604273,1.0,1.053932179843395,1.053932179843395,1.0,1.053932179843395,1.053932179843395,1.2178749992834372,22.7,20.820952380952377,20.820952380952377,1.0902479187631509,11.540786617362423,True,8,8,8,8
260216-2,PMBTA-2,GOX,1.066489716727228,1.066489716727228,1.066489716727228,1.066489716727228,,,,,0.0643726168079852,0.0643726168079852,0.0643726168079852,0.0643726168079852,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.4096377275638092,0.9651490649115186,1.0,1.105,1.105,1.0,1.105,1.105,0.9651490649115186,29.34999999999999,20.820952380952377,20.820952380952377,1.4096377275638092,9.145913512178453,True,9,9,9,9
260216-2,PMBTA-9,GOX,1.0247568003597805,1.0247568003597805,1.0247568003597805,1.0247568003597805,,,,,0.024455316496202608,0.024455316496202608,0.024455316496202608,0.024455316496202608,DMSO,PBS,GOx,20.820952380952377,9.47616678571503,1.3394474430518706,0.930491831833119,1.0,1.1013066050681546,1.1013066050681546,1.0,1.1013066050681546,1.1013066050681546,0.930491831833119,27.88857142857142,20.820952380952377,20.820952380952377,1.3394474430518706,8.817495791196137,True,10,10,10,10
