run_id,polymer_id,heat_min,abs_activity,REA_percent,include_in_all_polymers,all_polymers_pair
260211-1,GOx,0.0,32.07333333333333,100.0,True,True
260211-1,GOx,5.0,24.335238095238086,75.87374172283752,True,True
260211-1,GOx,10.0,21.825714285714284,68.04941057695163,True,True
260211-1,GOx,15.0,11.480952380952386,35.79594381922382,True,True
260211-1,GOx,20.0,9.027619047619043,28.146806425750498,True,True
260211-1,GOx,40.0,0.6088744588744591,1.898382224717707,True,True
260211-1,GOx,60.0,0.15055555555555528,0.4694103789925856,True,True
260211-1,GOx with EtOH,0.0,28.109999999999996,100.0,True,True
260211-1,GOx with EtOH,5.0,26.803333333333327,95.35159492470056,True,True
260211-1,GOx with EtOH,10.0,18.103809523809517,64.40344903525265,True,True
260211-1,GOx with EtOH,15.0,9.497142857142851,33.785638054581476,True,True
260211-1,GOx with EtOH,20.0,4.118181818181818,14.650237702532262,True,True
260211-1,GOx with EtOH,40.0,0.2856277056277056,1.0161070993514965,True,True
260211-1,GOx with EtOH,60.0,0.1485714285714297,0.5285358540427951,True,True
260211-1,GOx with DMSO,0.0,31.076666666666657,100.0,True,True
260211-1,GOx with DMSO,5.0,27.689999999999994,89.10222031534914,True,True
260211-1,GOx with DMSO,10.0,20.186666666666664,64.9576316636276,True,True
260211-1,GOx with DMSO,15.0,13.396190476190469,43.106909180061585,True,True
260211-1,GOx with DMSO,20.0,7.779999999999998,25.034860023597556,True,True
260211-1,GOx with DMSO,40.0,0.41896103896103903,1.3481530804281,True,True
260211-1,GOx with DMSO,60.0,0.09519884877027747,0.30633545673155904,True,True
260211-1,PMBTA-1,0.0,31.209999999999994,100.0,True,False
260211-1,PMBTA-1,5.0,24.329999999999995,77.95578340275553,True,False
260211-1,PMBTA-1,10.0,19.99,64.04998397949376,True,False
260211-1,PMBTA-1,15.0,9.473333333333331,30.35351917120581,True,False
260211-1,PMBTA-1,20.0,4.002597402597403,12.824727339306005,True,False
260211-1,PMBTA-1,40.0,0.4090909090909092,1.3107686930179727,True,False
260211-1,PMBTA-1,60.0,0.10190476190476182,0.32651317495918564,True,False
260211-1,PMBTA-2,0.0,31.79333333333333,100.0,True,False
260211-1,PMBTA-2,5.0,25.28666666666666,79.53449360452925,True,False
260211-1,PMBTA-2,10.0,20.153333333333325,63.38855105892219,True,False
260211-1,PMBTA-2,15.0,11.162857142857138,35.110685079231935,True,False
260211-1,PMBTA-2,20.0,4.822597402597403,15.168580633038594,True,False
260211-1,PMBTA-2,40.0,0.3456709956709958,1.0872436433350676,True,False
260211-1,PMBTA-2,60.0,0.09493506493506487,0.29860053974123996,True,False
260211-1,PMBTA-3,0.0,25.76333333333333,100.00000000000001,True,False
260211-1,PMBTA-3,5.0,26.083333333333325,101.2420753008151,True,False
260211-1,PMBTA-3,10.0,18.14666666666666,70.43602018372363,True,False
260211-1,PMBTA-3,15.0,10.826666666666663,42.023547677577945,True,False
260211-1,PMBTA-3,20.0,5.74056277056277,22.281910094046204,True,False
260211-1,PMBTA-3,40.0,0.5406926406926407,2.0986905448025905,True,False
260211-1,PMBTA-3,60.0,0.18969696969696978,0.7363060021877468,True,False
260211-1,PMBTA-4,0.0,33.61,100.0,True,False
260211-1,PMBTA-4,5.0,27.043333333333333,80.46216403848062,True,False
260211-1,PMBTA-4,10.0,21.80666666666667,64.8814836854111,True,False
260211-1,PMBTA-4,15.0,13.198095238095231,39.26835834006317,True,False
260211-1,PMBTA-4,20.0,6.941269841269845,20.652394648229233,True,False
260211-1,PMBTA-4,40.0,0.9566666666666671,2.8463750867797297,True,False
260211-1,PMBTA-4,60.0,0.17571428571428555,0.5228035873677047,True,False
260211-1,PMBTA-5,0.0,30.479999999999993,100.0,True,False
260211-1,PMBTA-5,5.0,24.909999999999997,81.72572178477691,True,False
260211-1,PMBTA-5,10.0,20.29333333333333,66.57917760279966,True,False
260211-1,PMBTA-5,15.0,13.237142857142853,43.42894638170228,True,False
260211-1,PMBTA-5,20.0,4.943290043290044,16.21814318664713,True,False
260211-1,PMBTA-5,40.0,0.5914718614718614,1.940524479894559,True,False
260211-1,PMBTA-5,60.0,0.19666666666666685,0.6452318460192483,True,False
260211-1,PMPC,0.0,28.399999999999995,100.0,True,False
260211-1,PMPC,5.0,27.163333333333327,95.64553990610328,True,False
260211-1,PMPC,10.0,20.446666666666662,71.99530516431925,True,False
260211-1,PMPC,15.0,16.00333333333333,56.34976525821596,True,False
260211-1,PMPC,20.0,6.441904761904758,22.68276324614352,True,False
260211-1,PMPC,40.0,0.5476190476190451,1.9282360831656522,True,False
260211-1,PMPC,60.0,0.30666666666666687,1.0798122065727709,True,False
260211-1,PMTAC,0.0,15.135555555555559,100.0,True,False
260211-1,PMTAC,5.0,16.366666666666664,108.1339010424313,True,False
260211-1,PMTAC,10.0,10.920634920634923,72.1521907838161,True,False
260211-1,PMTAC,15.0,15.759999999999996,104.1256790485978,True,False
260211-1,PMTAC,20.0,4.52380952380952,29.888625542714486,True,False
260211-1,PMTAC,40.0,1.6433333333333329,10.857436499779762,True,False
260211-1,PMTAC,60.0,0.12396186993993226,0.8190110332252166,True,False
260211-1,PMBTA-6,0.0,34.463333333333324,100.0,True,False
260211-1,PMBTA-6,5.0,27.57666666666666,80.01740980752491,True,False
260211-1,PMBTA-6,10.0,20.056666666666665,58.19711770964311,True,False
260211-1,PMBTA-6,15.0,13.679999999999994,39.694361156784986,True,False
260211-1,PMBTA-6,20.0,6.215873015873019,18.0361921342674,True,False
260211-1,PMBTA-6,40.0,0.7533333333333334,2.1858980559048273,True,False
