run_id,polymer_id,t50_min,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_activity_at_20_rel,log_functional_activity_at_20_rel,functional_reference_source,functional_reference_round_id,functional_reference_run_id,t50_censored,gox_t50_same_run_min,fog,log_fog,fog_missing_reason,use_for_bo,n_points,input_t50_file,input_tidy
260211-1,GOx,11.653322843997444,rea50,50.0,28.146806425750498,32.07333333333333,9.027619047619044,9.027619047619044,1.0,0.0,same_run_gox,,260211-1,0,11.653322843997444,1.0,0.0,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,GOx with EtOH,11.107706980587286,rea50,50.0,14.650237702532262,28.11,4.118181818181818,9.027619047619044,0.456175852842168,-0.7848769016108544,same_run_gox,,260211-1,0,11.653322843997444,0.9531793746114912,-0.04795217204086792,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,GOx with DMSO,12.374042700006386,rea50,50.0,25.03486002359756,31.076666666666657,7.779999999999998,9.027619047619044,0.8617997679080073,-0.1487323231111722,same_run_gox,,260211-1,0,11.653322843997444,1.0618467252351274,0.06000958588307688,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-1,9.934345776555755,rea50,50.0,12.824727339306005,31.21,4.002597402597403,9.027619047619044,0.4433724309238606,-0.8133451602691406,same_run_gox,,260211-1,0,11.653322843997444,0.8524903934737272,-0.1595933385404763,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-2,10.447386393113003,rea50,50.0,15.168580633038594,31.79333333333333,4.822597402597403,9.027619047619044,0.5342047972072239,-0.6269759981758307,same_run_gox,,260211-1,0,11.653322843997444,0.8965156576344565,-0.1092395207972668,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-3,13.068616911501136,rea50,50.0,22.281910094046204,25.76333333333333,5.74056277056277,9.027619047619044,0.6358889027419464,-0.45273141212391144,same_run_gox,,260211-1,0,11.653322843997444,1.1214498290702297,0.11462233841814731,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-4,11.3821559344823,rea50,50.0,20.65239464822924,33.61,6.941269841269845,9.027619047619044,0.7688926398705919,-0.2628039292741294,same_run_gox,,260211-1,0,11.653322843997444,0.9767305074144736,-0.023544501822008606,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-5,11.506466125899916,rea50,50.0,16.21814318664713,30.48,4.943290043290044,9.027619047619044,0.547574063240273,-0.6022575511156633,same_run_gox,,260211-1,0,11.653322843997444,0.9873978675384272,-0.012682212833165037,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMPC,14.156198806913505,rea50,50.0,22.68276324614352,28.399999999999995,6.441904761904758,9.027619047619044,0.7135773815803353,-0.3374643944345709,same_run_gox,,260211-1,0,11.653322843997444,1.2147778789296375,0.19456124438391392,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMTAC,20.926818065813524,rea50,50.0,29.88862554271449,15.13555555555556,4.52380952380952,9.027619047619044,0.5011077117839432,-0.6909342074243552,same_run_gox,,260211-1,0,11.653322843997444,1.7957811987155923,0.585440135462724,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-6,10.700163520480496,rea50,50.0,18.0361921342674,34.463333333333324,6.215873015873019,9.027619047619044,0.6885395787178681,-0.3731824770366492,same_run_gox,,260211-1,0,11.653322843997444,0.9182070782491095,-0.08533233836519971,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-7,9.50202634709529,rea50,50.0,15.875526725066136,32.56666666666666,5.170129870129871,9.027619047619044,0.5727013781660899,-0.5573908531488844,same_run_gox,,260211-1,0,11.653322843997444,0.8153920108709359,-0.2040862864485934,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-8,9.168712304684457,rea50,50.0,13.3414193439124,34.76333333333332,4.637922077922079,9.027619047619044,0.5137480938725799,-0.6660222234022644,same_run_gox,,260211-1,0,11.653322843997444,0.7867895215318097,-0.2397945103853395,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
260211-1,PMBTA-9,11.251262891633257,rea50,50.0,17.287116479117287,33.00333333333333,5.705324675324675,9.027619047619044,0.6319855374080505,-0.4588887689451402,same_run_gox,,260211-1,0,11.653322843997444,0.9654982567850777,-0.035110982620037076,,True,7,t50__260211-1.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260211-1/extract/tidy.csv
