run_id,raw_top,raw_family,cons_top,cons_family
260209-1,PMBTA-3,PMBTA,PMBTA-2,PMBTA
260209-2,PMPC,PMPC,PMPC,PMPC
260209-3,PMPC,PMPC,PMBTA-4,PMBTA
260211-1,PMTAC,PMTAC,PMPC,PMPC
260211-2,PMTAC,PMTAC,PMBTA-5,PMBTA
