polymer_id,n_runs,median_fog,mean_fog,median_native,min_native,median_fit_r2
PMBTA-11,5,1.071524111959006,1.0681186252787742,1.0284982060481809,0.8395192073418339,0.9656244562811864
PMBTA-3,5,1.025998718614735,0.9503853229313306,1.0016401845207583,0.7162562895789089,0.933051996227608
PMBTA-5,5,0.9867359997428914,0.8447471358243007,0.9995982322217756,0.9333675038441824,0.9840120149348748
PMBTA-4,5,0.9708517692901264,0.9195133283096506,1.0297308155885898,0.8827255745959551,0.9772403953940908
PMBTA-9,5,0.9648557921995714,0.8578147482661713,1.0634793089594214,0.9695540748334188,0.9904809668863712
PMBTA-2,5,0.8938563721051337,0.7808415173850447,0.9912700062357098,0.8449750330023531,0.9604815103559488
PMBTA-8,5,0.8657730447788528,0.7780481173274214,1.0838702972355017,0.9495643259866736,0.9847375757011346
PMBTA-1,5,0.8514149181261685,0.739548514038858,1.079951787866613,0.940953357252691,0.9527100523216768
PMBTA-10,2,0.8512447223284078,0.8512447223284078,0.7756158874304887,0.7499480357514029,0.9581963785171614
PMBTA-6,5,0.83083091693628,0.7726944109912125,1.074516732488048,1.0037929267042542,0.9897825224576616
PMBTA-7,5,0.8148454412149997,0.8002613853010697,1.0673678226264924,0.9555099948744236,0.9714950152302056
