run_id,raw_top,raw_family,cons_top,cons_family
260209-1,PMBTA-3,PMBTA,PMBTA-3,PMBTA
260209-2,PMBTA-10,PMBTA,PMBTA-10,PMBTA
260209-3,PMBTA-11,PMBTA,PMBTA-11,PMBTA
260211-1,PMTAC,PMTAC,PMBTA-11,PMBTA
260211-2,PMBTA-10,PMBTA,PMTAC,PMTAC
