policy_id,policy_display,run_id,top_polymer_id,top_family,top_score,top_fog,top_native_rel,theta,alpha,min_fit_r2,min_rea20
fog_raw,FoG raw,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,,,,
fog_raw,FoG raw,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,,,,
fog_raw,FoG raw,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,,,,
fog_raw,FoG raw,260211-1,PMTAC,homopolymer_pmtac,1.623511957374557,1.623511957374557,0.414565376423618,,,,
fog_raw,FoG raw,260211-2,PMBTA-10,pmbta,1.5956638764220237,1.5956638764220237,0.5744917136511195,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-1,PMBTA-8,pmbta,0.8657730447788528,0.8657730447788528,1.0100441944556044,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-2,PMPC,homopolymer_pmpc,0.6400542224280681,0.6400542224280681,1.0357855441848491,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-3,PMBTA-11,pmbta,1.2430566597732715,1.4806768551599392,0.8395192073418339,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260211-1,PMBTA-11,pmbta,1.2159728357002335,1.4200862513785226,0.8562668883807939,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481807,,,,
cons_0.40,Constrained theta=0.40,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,0.4,,,
cons_0.40,Constrained theta=0.40,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.4,,,
cons_0.40,Constrained theta=0.40,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.4,,,
cons_0.40,Constrained theta=0.40,260211-1,PMTAC,homopolymer_pmtac,1.623511957374557,1.623511957374557,0.414565376423618,0.4,,,
cons_0.40,Constrained theta=0.40,260211-2,PMBTA-10,pmbta,1.5956638764220237,1.5956638764220237,0.5744917136511195,0.4,,,
cons_0.50,Constrained theta=0.50,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,0.5,,,
cons_0.50,Constrained theta=0.50,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.5,,,
cons_0.50,Constrained theta=0.50,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.5,,,
cons_0.50,Constrained theta=0.50,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.5,,,
cons_0.50,Constrained theta=0.50,260211-2,PMBTA-10,pmbta,1.5956638764220237,1.5956638764220237,0.5744917136511195,0.5,,,
cons_0.60,Constrained theta=0.60,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,0.6,,,
cons_0.60,Constrained theta=0.60,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.6,,,
cons_0.60,Constrained theta=0.60,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.6,,,
cons_0.60,Constrained theta=0.60,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.6,,,
cons_0.60,Constrained theta=0.60,260211-2,PMTAC,homopolymer_pmtac,1.0910416884840104,1.0910416884840104,0.6745258841619681,0.6,,,
cons_0.70,Constrained theta=0.70,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789089,0.7,,,
cons_0.70,Constrained theta=0.70,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.7,,,
cons_0.70,Constrained theta=0.70,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.7,,,
cons_0.70,Constrained theta=0.70,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.7,,,
cons_0.70,Constrained theta=0.70,260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481807,0.7,,,
cons_0.75,Constrained theta=0.75,260209-1,PMBTA-2,pmbta,0.8938563721051337,0.8938563721051337,0.8449750330023531,0.75,,,
cons_0.75,Constrained theta=0.75,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.75,,,
cons_0.75,Constrained theta=0.75,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.75,,,
cons_0.75,Constrained theta=0.75,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.75,,,
cons_0.75,Constrained theta=0.75,260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481807,0.75,,,
cons_0.80,Constrained theta=0.80,260209-1,PMBTA-2,pmbta,0.8938563721051337,0.8938563721051337,0.8449750330023531,0.8,,,
cons_0.80,Constrained theta=0.80,260209-2,PMBTA-10,pmbta,0.7306063024359707,0.7306063024359707,0.8012837391095745,0.8,,,
cons_0.80,Constrained theta=0.80,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.8,,,
cons_0.80,Constrained theta=0.80,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.8,,,
