subset,runs,changes_adj_to_cons070,adj_top_PMBTA,adj_top_PMPC,adj_top_PMTAC,cons_top_PMBTA,cons_top_PMPC,cons_top_PMTAC
all_candidates,5,2,4,1,0,5,0,0
first7_only,5,1,3,2,0,3,2,0
