run_id,adj_top,adj_family,cons070_top,cons070_family
260209-1,PMBTA-8,PMBTA,PMBTA-3,PMBTA
260209-2,PMPC,PMPC,PMBTA-10,PMBTA
260209-3,PMBTA-11,PMBTA,PMBTA-11,PMBTA
260211-1,PMBTA-11,PMBTA,PMBTA-11,PMBTA
260211-2,PMBTA-11,PMBTA,PMBTA-11,PMBTA
