run_id,adj_top,adj_family,cons070_top,cons070_family
260209-1,PMBTA-3,PMBTA,PMBTA-3,PMBTA
260209-2,PMPC,PMPC,PMPC,PMPC
260209-3,PMBTA-4,PMBTA,PMBTA-4,PMBTA
260211-1,PMPC,PMPC,PMPC,PMPC
260211-2,PMBTA-4,PMBTA,PMBTA-5,PMBTA
