run_id,pmpc_fog,pmtac_fog,best_pmbta_id,best_pmbta_fog,best_pmbta_beats_pmpc,best_pmbta_beats_pmtac
260209-1,1.130384649091661,0.4371540033088563,PMBTA-3,1.179609067687257,1,1
260209-2,0.6400542224280681,0.4935537590463398,PMBTA-10,0.7306063024359707,1,1
260209-3,1.4302704969241855,0.8662550809373012,PMBTA-11,1.4806768551599392,1,1
260211-1,1.213963594857101,1.623511957374557,PMBTA-11,1.4200862513785226,1,0
260211-2,0.8240529780670256,1.0910416884840104,PMBTA-10,1.5956638764220237,1,1
260211-3,,,,,0,0
260211-plate7,,,,,0,0
