subset,cv_r2_linear_comp,cv_rmse,spearman_obj_vs_BMA,spearman_obj_vs_MTAC,n_rows,n_runs,n_polymers,total_var,between_poly_var_after_run_center,resid_var_after_run_center,signal_ratio_between_over_resid
all_candidates,-0.3870198689922102,0.30369097707886156,0.0744038773777679,-0.09995577288614103,58,5,13,0.06766034894042001,0.010742272132307192,0.01208082358050734,0.8892003149222435
first7,-0.3980779574094062,0.2987201059520997,0.20870662973578744,0.010192219545067048,31,5,7,0.06595351706583436,0.008916948390246902,0.012911855149210722,0.6906016437763383
pmbta_all,-0.4305096322839814,0.30524886083923775,0.003944217871137389,-0.02512295296180989,52,5,11,0.06641260030174,0.009862545614618017,0.010164550946937176,0.9702883743811466
pmbta_feasible,-0.4305096322839814,0.30524886083923775,0.003944217871137389,-0.02512295296180989,52,5,11,0.06641260030174,0.009862545614618017,0.010164550946937176,0.9702883743811466
