subset,theta,runs_raw,runs_cons,changes_vs_raw,cons_top_PMBTA,cons_top_PMPC,cons_top_PMTAC
all_candidates,0.6,1,1,1,1,0,0
all_candidates,0.7,1,1,1,1,0,0
all_candidates,0.75,1,1,1,1,0,0
all_candidates,0.8,1,1,1,1,0,0
all_candidates,0.9,1,1,1,0,0,0
first7_only,0.6,1,1,1,0,1,0
first7_only,0.7,1,1,1,0,1,0
first7_only,0.75,1,1,1,0,1,0
first7_only,0.8,1,1,1,0,1,0
first7_only,0.9,1,1,1,1,0,0
