run_id,polymer_id,reference_polymer_id,t50_min,t50_sem_min,t50_activity_adjusted_min,t50_activity_adjusted_sem_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,use_for_bo,rank_t50
260211-2,PMBTA-11,GOX,14.707290985432351,,14.707290985432351,,0,rea50,50.0,31.555865643376823,33.443333333333335,32.51666666666666,32.51666666666666,1.0284982060481807,1.0,True,1
260211-2,GOx,GOX,13.725580993734107,,13.725580993734107,,0,rea50,50.0,28.41326792121256,32.51666666666666,32.51666666666666,32.51666666666666,1.0,1.0,True,2
260211-2,PMBTA-9,GOX,13.77933323079132,,13.35980868240126,,0,rea50,50.0,27.17024640264228,31.526666666666657,32.51666666666666,32.51666666666666,0.9695540748334187,0.9695540748334187,True,3
260211-2,PMBTA-4,GOX,13.325504592301687,,13.325504592301687,,0,rea50,50.0,26.45298151807508,32.773333333333326,32.51666666666666,32.51666666666666,1.0078933880061507,1.0,True,4
260211-2,PMBTA-5,GOX,13.92178020807794,,12.994137241881049,,0,rea50,50.0,27.253471405036475,30.349999999999987,32.51666666666666,32.51666666666666,0.9333675038441823,0.9333675038441823,True,5
260211-2,PMBTA-6,GOX,12.686565862527418,,12.686565862527418,,0,rea50,50.0,20.395658263305315,32.63999999999999,32.51666666666666,32.51666666666666,1.0037929267042542,1.0,True,6
260211-2,PMBTA-10,GOX,21.90141377460622,,12.582180730755761,,0,rea50,50.0,55.48932554434408,18.680555555555564,32.51666666666666,32.51666666666666,0.5744917136511195,0.5744917136511195,True,7
260211-2,PMBTA-3,GOX,12.581540354169954,,12.581540354169954,,0,rea50,50.0,22.394500733462973,32.56999999999999,32.51666666666666,32.51666666666666,1.0016401845207585,1.0,True,8
260211-2,GOx with DMSO,GOX,13.032720378122177,,12.24982195253739,,0,rea50,50.0,20.37922814452427,30.563333333333325,32.51666666666666,32.51666666666666,0.9399282419272168,0.9399282419272168,True,9
260211-2,PMBTA-8,GOX,12.430206238275742,,11.803280408523651,,0,rea50,50.0,18.23888084278887,30.87666666666666,32.51666666666666,32.51666666666666,0.9495643259866736,0.9495643259866736,True,10
260211-2,PMBTA-7,GOX,12.307265283384528,,11.759714987844921,,0,rea50,50.0,19.61903740146419,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,0.9555099948744236,True,11
260211-2,PMPC,GOX,11.310605893586755,,11.310605893586755,,0,rea50,50.0,19.33150439256529,35.75666666666666,32.51666666666666,32.51666666666666,1.0996412096360841,1.0,True,12
260211-2,PMBTA-1,GOX,11.854991820378126,,11.15499435358799,,0,rea50,50.0,17.810841517127596,30.59666666666666,32.51666666666666,32.51666666666666,0.940953357252691,0.940953357252691,True,13
260211-2,PMBTA-2,GOX,11.647201510649454,,11.129017455742039,,0,rea50,50.0,18.7104387941208,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,0.9555099948744236,True,14
260211-2,GOx with EtOH,GOX,12.233144148745795,,11.05184001874902,,0,rea50,50.0,19.37883970109093,29.37666666666666,32.51666666666666,32.51666666666666,0.9034341363403383,0.9034341363403383,True,15
260211-2,PMTAC,GOX,9.156824289850892,,6.176515000227459,,0,rea50,50.0,27.065700257189643,21.933333333333326,32.51666666666666,32.51666666666666,0.6745258841619681,0.6745258841619681,True,16
