heat_min,total,ok,excluded,ok_rate
0.0,2,2,0,1.0
5.0,2,2,0,1.0
10.0,2,2,0,1.0
15.0,2,2,0,1.0
20.0,2,2,0,1.0
40.0,2,2,0,1.0
60.0,2,2,0,1.0
