round_id,polymer_id,mean_fog,mean_log_fog,robust_fog,robust_log_fog,log_fog_mad,n_observations,run_ids
R1,PMBTA-1,2.9475542899872718,1.0809757722545947,2.9475542899872718,1.0809757722545947,0.0,1,260205-R1
R1,PMBTA-2,2.855511487854872,1.049250982177154,2.855511487854872,1.049250982177154,0.0,1,260205-R1
R1,PMBTA-3,4.983725050488078,1.606177613528452,4.983725050488078,1.606177613528452,0.0,1,260205-R1
R1,PMBTA-4,4.223555945872687,1.4406774144271928,4.223555945872687,1.4406774144271928,0.0,1,260205-R1
R1,PMBTA-5,6.611606164829366,1.888826614486872,6.611606164829366,1.888826614486872,0.0,1,260205-R1
R1,PMPC,1.7232172176783234,0.5441930190589768,1.7232172176783234,0.5441930190589768,0.0,1,260205-R1
R1,PMTAC,1.569115173331778,0.4505118766220255,1.569115173331778,0.4505118766220255,0.0,1,260205-R1
R2,PMBTA-4,2.0167430905742267,0.7014838788091085,2.0167430905742267,0.7014838788091085,0.0,1,260205-R2
R2,PMBTA-5,1.2968533138256937,0.2599408024277692,1.2968533138256937,0.2599408024277692,0.0,1,260205-R2
R2,PMBTA-6,1.6005222267631012,0.4703299677184815,1.6005222267631012,0.4703299677184815,0.0,1,260205-R2
R2,PMBTA-7,1.224405022872028,0.2024550303936984,1.224405022872028,0.2024550303936984,0.0,1,260205-R2
R2,PMBTA-8,1.27160113147956,0.2402768398618845,1.27160113147956,0.2402768398618845,0.0,1,260205-R2
R2,PMPC,1.040257543206627,0.0394683201948073,1.040257543206627,0.0394683201948073,0.0,1,260205-R2
R2,PMTAC,1.778509104049632,0.5757754313416164,1.778509104049632,0.5757754313416164,0.0,1,260205-R2
R2,PMBTA-1,1.5342508948591076,0.4280422455419799,1.5342508948591076,0.4280422455419799,0.0,1,260205-R2
R2,PMBTA-2,0.9659265125380998,-0.0346675216405131,0.9659265125380998,-0.0346675216405131,0.0,1,260205-R2
R2,PMBTA-3,1.207236237660568,0.1883336459637891,1.207236237660568,0.1883336459637891,0.0,1,260205-R2
R3,PMPC,1.0169478282283877,0.0168058160734476,1.0169478282283877,0.0168058160734476,0.0,1,260205-R3
R3,PMTAC,0.9044783971365952,-0.1003968581947559,0.9044783971365952,-0.1003968581947559,0.0,1,260205-R3
R3,PMBTA-4,1.67565557253537,0.5162044752935585,1.67565557253537,0.5162044752935585,0.0,1,260205-R3
R3,PMBTA-6,2.046786525412339,0.716271014681253,2.046786525412339,0.716271014681253,0.0,1,260205-R3
R3,PMBTA-9,1.1557525017657595,0.1447516485092147,1.1557525017657595,0.1447516485092147,0.0,1,260205-R3
R3,PMBTA-10,0.5974549550257945,-0.5150763870965389,0.5974549550257945,-0.5150763870965389,0.0,1,260205-R3
R3,PMBTA-11,1.625517214601912,0.4858260510483554,1.625517214601912,0.4858260510483554,0.0,1,260205-R3
