round_id,run_id,heat_min,plate_id,well,abs_activity,REA_percent
R1,260205-R1,0.0,plate1,A1,5.033333333333334,100.0
R1,260205-R1,5.0,plate1,A2,3.224444444444445,64.06181015452539
R1,260205-R1,10.0,plate1,A3,2.106666666666667,41.85430463576159
R1,260205-R1,15.0,plate1,A4,1.214632034632035,24.131762277457646
R1,260205-R1,20.0,plate1,A5,0.2805012531328321,5.5728725787979885
R1,260205-R1,40.0,plate1,A6,0.145050505050505,2.881798113586193
R1,260205-R1,60.0,plate1,A7,0.145050505050505,2.881798113586193
R2,260205-R2,0.0,plate1,A1,6.72,100.0
R2,260205-R2,5.0,plate1,A2,4.630476190476188,68.90589569160996
R2,260205-R2,10.0,plate1,A3,3.88,57.73809523809525
R2,260205-R2,15.0,plate1,A4,2.4087301587301595,35.844198790627374
R2,260205-R2,20.0,plate1,A5,1.3968922305764413,20.78708676453038
R2,260205-R2,40.0,plate1,A6,0.4052813852813852,6.030972995258709
R2,260205-R2,60.0,plate1,A7,0.2933333333333333,4.365079365079365
R3,260205-R3,0.0,plate1,A1,5.806666666666666,100.0
R3,260205-R3,5.0,plate1,A2,3.868571428571427,66.62292930949646
R3,260205-R3,10.0,plate1,A3,3.553333333333334,61.1940298507463
R3,260205-R3,15.0,plate1,A4,2.729523809523809,47.00672461866492
R3,260205-R3,20.0,plate1,A5,2.12936507936508,36.67104040238371
R3,260205-R3,40.0,plate1,A6,1.0715151515151518,18.45318860244234
R3,260205-R3,60.0,plate1,A7,0.59810379241517,10.300294932523022
