run_id,polymer_id,reference_polymer_id,t50_min,t50_sem_min,t50_activity_adjusted_min,t50_activity_adjusted_sem_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,use_for_bo,rank_t50
260211-group_mean,PMBTA-11,GOX,15.425396051092571,0.573864959529971,14.58236078154068,0.5425018490308102,0,rea50,50.0,28.178304611853644,30.53,30.04536507936508,32.294999999999995,0.9453475770243074,0.9453475770243074,True,1
260211-group_mean,PMBTA-9,GOX,13.408187844325978,1.1531585948378997,12.922198410323555,1.1113615302884605,0,rea50,50.0,25.18601821064568,31.12444444444444,30.04536507936508,32.294999999999995,0.963754279128176,0.963754279128176,True,2
260211-group_mean,PMPC,GOX,12.84105879547801,0.8284764103845814,12.783846047924575,0.8247851717977757,0,rea50,50.0,21.388763599009263,32.151111111111106,30.04536507936508,32.294999999999995,0.9955445459393439,0.9955445459393439,True,3
260211-group_mean,GOx,GOX,12.693360238367362,1.0322207553667457,12.693360238367362,1.0322207553667457,0,rea50,50.0,28.28003717348153,32.294999999999995,32.294999999999995,32.294999999999995,1.0,1.0,True,4
260211-group_mean,PMBTA-4,GOX,12.353830263391995,0.9716743289096934,12.353830263391995,0.9716743289096934,0,rea50,50.0,23.552688083152162,33.19166666666666,32.294999999999995,32.294999999999995,1.0277648758837798,1.0,True,5
260211-group_mean,GOx with DMSO,GOX,12.703381539064281,0.329338839057895,12.123183744665154,0.31429704349788895,0,rea50,50.0,22.707044084060914,30.819999999999993,32.294999999999995,32.294999999999995,0.9543272952469422,0.9543272952469422,True,6
260211-group_mean,PMBTA-5,GOX,12.714123166988928,1.2076570410890124,11.973991519553126,1.13735528424593,0,rea50,50.0,21.735807295841802,30.414999999999992,32.294999999999995,32.294999999999995,0.9417866542808483,0.9417866542808483,True,7
260211-group_mean,PMBTA-6,GOX,11.832513502697244,0.5901372194220567,11.832513502697244,0.5901372194220567,0,rea50,50.0,19.43085295056772,33.48222222222222,30.04536507936508,32.294999999999995,1.0367617966317457,1.0,True,8
260211-group_mean,PMBTA-3,GOX,12.825078632835545,0.24353827866559105,11.582746352615061,0.21994735390658218,0,rea50,50.0,22.338205413754586,29.16666666666666,32.294999999999995,32.294999999999995,0.9031325798627238,0.9031325798627238,True,9
260211-group_mean,PMBTA-8,GOX,11.96036137987889,1.4947036256470674,11.375418622950647,1.421602484986927,0,rea50,50.0,17.61496692575253,30.71555555555555,30.04536507936508,32.294999999999995,0.9510932204847672,0.9510932204847672,True,10
260211-group_mean,PMBTA-7,GOX,11.223012150719283,0.8701365301142856,11.080337743270908,0.859074774841635,0,rea50,50.0,17.519215600424534,31.88444444444444,30.04536507936508,32.294999999999995,0.9872873337805991,0.9872873337805991,True,11
260211-group_mean,PMBTA-2,GOX,11.047741543464552,0.5994599671849024,10.752405313939104,0.583434769114934,0,rea50,50.0,16.939509713579696,31.431666666666665,32.294999999999995,32.294999999999995,0.9732672756360635,0.9732672756360635,True,12
260211-group_mean,PMBTA-10,GOX,16.203575540723687,3.0786925887096217,10.566086143428427,2.0075649982119734,0,rea50,50.0,42.223831011249516,21.059040404040406,30.04536507936508,32.294999999999995,0.6520836167840349,0.6520836167840349,True,13
260211-group_mean,PMBTA-1,GOX,10.891729969277463,0.9632618511006629,10.4223799912444,0.9217526574345095,0,rea50,50.0,15.3177844282168,30.90333333333333,32.294999999999995,32.294999999999995,0.9569076740465501,0.9569076740465501,True,14
260211-group_mean,GOx with EtOH,GOX,11.669799761096783,0.5633443876490132,10.386404844912791,0.5013901692416206,0,rea50,50.0,17.014538701811595,28.743333333333332,32.294999999999995,32.294999999999995,0.8900242555607164,0.8900242555607164,True,15
260211-group_mean,PMTAC,GOX,10.62894011273893,4.430381976604627,5.885383359023144,2.453160529898395,0,rea50,50.0,28.594246034019452,17.8821645021645,30.04536507936508,32.294999999999995,0.5537130980698096,0.5537130980698096,True,16
