run_id,polymer_id,reference_polymer_id,fog,fog_sem,fog_activity_adjusted,fog_activity_adjusted_sem,log_fog,fog_missing_reason,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260211-group_mean,PMBTA-11,GOX,1.2458051816687643,0.17428106970975832,1.1777189099348935,0.16475618697132444,0.21978205313955224,,15.425396051092571,30.53,30.04536507936508,32.294999999999995,0.9453475770243074,0.9453475770243074,0,True,1
260211-group_mean,PMPC,GOX,1.0190082864620633,0.1949553083950377,1.0144681418543038,0.19408669397460257,0.018829886162443434,,12.84105879547801,32.151111111111106,30.04536507936508,32.294999999999995,0.9955445459393439,0.9955445459393439,0,True,2
260211-group_mean,GOx,GOX,1.0,0.0,1.0,0.0,0.0,,12.693360238367362,32.294999999999995,32.294999999999995,32.294999999999995,1.0,1.0,0,True,3
260211-group_mean,PMBTA-4,GOX,0.9734637797013306,0.002612010411204124,0.9734637797013306,0.002612010411204124,-0.026894661126736445,,12.353830263391995,33.19166666666666,32.294999999999995,32.294999999999995,1.0277648758837798,1.0,0,True,4
260211-group_mean,GOx with DMSO,GOX,1.0053277211610854,0.055807232077835056,0.9594116849724307,0.053258364844058714,0.005313579062567411,,12.703381539064281,30.819999999999993,32.294999999999995,32.294999999999995,0.9543272952469422,0.9543272952469422,0,True,5
260211-group_mean,PMBTA-9,GOX,0.9843860003535054,0.01953020815393408,0.9487062201545611,0.018822321680617964,-0.015737182068287364,,13.408187844325978,31.12444444444444,30.04536507936508,32.294999999999995,0.963754279128176,0.963754279128176,0,True,6
260211-group_mean,PMBTA-5,GOX,1.0005152096847643,0.013779209941872926,0.9422718718861155,0.012977076029789906,0.0005150770098229448,,12.714123166988928,30.414999999999992,32.294999999999995,32.294999999999995,0.9417866542808483,0.9417866542808483,0,True,7
260211-group_mean,PMBTA-6,GOX,0.9209386083739723,0.0033622185505117197,0.9209386083739723,0.0033622185505117197,-0.08236190252295075,,11.832513502697244,33.48222222222222,30.04536507936508,32.294999999999995,1.0367617966317457,1.0,0,True,8
260211-group_mean,PMBTA-3,GOX,1.0186735616424445,0.10202454256532294,0.9199972817640902,0.09214168833633438,0.018501351241311456,,12.825078632835545,29.16666666666666,32.294999999999995,32.294999999999995,0.9031325798627238,0.9031325798627238,0,True,9
260211-group_mean,PMBTA-2,GOX,0.8722838433583413,0.023707632561396404,0.8489653198067276,0.02307386295481111,-0.1366403996010707,,11.047741543464552,31.431666666666665,32.294999999999995,32.294999999999995,0.9732672756360635,0.9732672756360635,0,True,10
260211-group_mean,PMBTA-7,GOX,0.8557558472344506,0.040910406019451,0.8448769087832584,0.04039032568282555,-0.15577016871823554,,11.223012150719283,31.88444444444444,30.04536507936508,32.294999999999995,0.9872873337805991,0.9872873337805991,0,True,11
260211-group_mean,PMBTA-10,GOX,1.2837735093214342,0.3118903671005894,0.8371276730898538,0.20337859861905272,0.24980379509893563,,16.203575540723687,21.059040404040406,30.04536507936508,32.294999999999995,0.6520836167840349,0.6520836167840349,0,True,12
260211-group_mean,PMBTA-1,GOX,0.8575650185277828,0.0061501004016142335,0.8206105472231072,0.0058850782704614295,-0.15365827946047253,,10.891729969277463,30.90333333333333,32.294999999999995,32.294999999999995,0.9569076740465501,0.9569076740465501,0,True,13
260211-group_mean,GOx with EtOH,GOX,0.9218495737066162,0.030583538823985568,0.8204684805771949,0.027220091374230024,-0.08137322089832645,,11.669799761096783,28.743333333333332,32.294999999999995,32.294999999999995,0.8900242555607164,0.8900242555607164,0,True,14
260211-group_mean,PMBTA-8,GOX,0.8459427226366139,0.059680598077480544,0.8045703884181092,0.056761812225967975,-0.1673036254071425,,11.96036137987889,30.71555555555555,30.04536507936508,32.294999999999995,0.9510932204847672,0.9510932204847672,0,True,15
260211-group_mean,PMTAC,GOX,1.145323799751869,0.4781881576226877,0.6341807894536936,0.2647790462175528,0.13568739157048026,,10.62894011273893,17.8821645021645,30.04536507936508,32.294999999999995,0.5537130980698096,0.5537130980698096,0,True,16
