run_id,polymer_id,polymer_label,n_points,abs_activity_at_0,abs_activity_at_20,functional_activity_at_20_rel,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,y0_REA_percent,t50_definition,t50_target_rea_percent,t50_linear_min,t50_exp_min,rea_at_20_percent,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260209-1,GOx,GOx,7,24.889999999999997,8.414285714285718,1.0,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,14.456521739130434,12.657464685988462,33.80588876772085,exp,0.054761928850352165,18.260861532702737,,0.9860315924275328,exp
260209-1,GOx with DMSO,GOx with DMSO,7,24.999999999999996,7.257142857142854,0.8624787775891333,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,12.791625124626117,12.240801922778278,29.02857142857142,exp,0.05662596167577088,17.65974423049631,,0.9710140286096264,exp
260209-1,PMBTA-1,PMBTA-1,7,26.879999999999992,6.836190476190475,0.8124504810413125,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,5.013039355144615,7.690474198199671,25.432256235827666,exp,0.09013061648684942,11.095008987827192,,0.942680666279798,exp
260209-1,PMBTA-2,PMBTA-2,7,21.031428571428567,4.1731601731601735,0.49596131090188794,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,12.242817264734654,11.313955464266492,19.842495049667992,exp,0.06126479662653361,16.32258744113586,,0.9517707862325632,exp
260209-1,PMBTA-3,PMBTA-3,7,17.827619047619038,5.419437229437229,0.6440757318516228,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,15.965896028866432,14.930860117523228,30.399108343977204,exp,0.04642379441666931,21.540677847757568,,0.9040977670851935,exp
260209-1,PMBTA-4,PMBTA-4,7,25.629999999999995,6.388888888888891,0.7592906998679494,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,11.110643786451316,10.666915065065378,24.92738544240692,exp,0.06498103494139867,15.389105465953596,,0.9885598278286061,exp
260209-1,PMBTA-5,PMBTA-5,7,24.879999999999992,5.657229437229438,0.6723362658846527,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,11.599318066626733,10.170177128339523,22.73806043902508,exp,0.06815487791539722,14.67246410801779,,0.9840120149348748,exp
260209-1,PMPC,PMPC,7,15.55666666666666,5.543253968253972,0.6587907941897757,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,15.34902365860031,14.307803777461158,35.632658891711856,exp,0.04844539325118844,20.64179755575559,,0.9642120275954503,exp
260209-1,PMTAC,PMTAC,6,20.62202020202021,3.5180519480519483,0.4181046457786694,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,4.575300205793199,5.533261359220331,17.059686265399485,exp,0.12526919217450697,7.982808722889697,,0.9777823441063523,exp
260209-1,PMBTA-6,PMBTA-6,7,25.67809523809523,5.428138528138528,0.6451098420538146,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,10.278497738476393,9.617101402172,21.139179046604315,exp,0.07207443818814259,13.874544500639843,,0.9937329512672304,exp
260209-1,PMBTA-7,PMBTA-7,7,28.079999999999995,8.741111111111111,1.0388417279758533,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,11.441476826394341,10.10936509695136,31.12931307375753,exp,0.06856485782366045,14.5847308919077,,0.9464708793424317,exp
260209-1,PMBTA-8,PMBTA-8,7,25.13999999999999,6.084545454545454,0.7231208519833303,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,11.678752302025783,10.958491740369036,24.20264699500977,exp,0.06325206031834843,15.809761689453074,,0.9847375757011346,exp
260209-1,PMBTA-9,PMBTA-9,7,26.469999999999995,7.135714285714289,0.8480475382003395,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,10.9761780104712,10.322447587276969,26.957741918074387,exp,0.0671494986726104,14.892143944000729,,0.9954457385295586,exp
260209-1,PMBTA-10,PMBTA-10,7,14.21333333333333,4.101353383458648,0.48742739701545884,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,8.893105980593552,9.620158896042874,28.85567577480288,exp,0.07205153137803808,13.8789555318849,,0.9918899823252819,exp
260209-1,PMBTA-11,PMBTA-11,7,27.693333333333328,7.815079365079368,0.9287870213167326,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,9.85713462757071,10.804826698717319,28.220074741499893,exp,0.06415162407391795,15.588069895904146,,0.9887067080875704,exp
260209-1,background,background,4,0.1333333333333326,,,8.414285714285718,same_run_gox,,260209-1,100.0,rea50,50.0,7.272727272727305,7.8405344395224,,exp,0.08840560371317849,11.311500153818095,,0.8035848951528978,exp
