select_method_used,count,fraction
initial_positive_tangent,42,0.375
initial_positive_promote_long_ext,30,0.26785714285714285
initial_positive,26,0.23214285714285715
initial_positive_ext,3,0.026785714285714284
initial_positive_promote_long_ext_tangent,3,0.026785714285714284
initial_positive_early_steep_ext,2,0.017857142857142856
initial_positive_post_tangent_under,2,0.017857142857142856
initial_positive_ext_intskip1,1,0.008928571428571428
initial_positive_early_steep_tangent,1,0.008928571428571428
initial_positive_post_broad_overfit_ext,1,0.008928571428571428
initial_positive_intskip1,1,0.008928571428571428
