run_id,polymer_id,heat_min,n,mean_abs_activity,std_abs_activity,sem_abs_activity,mean_REA_percent,std_REA_percent,sem_REA_percent
260203-2,GOx,0.0,3,266.70603174603167,9.35947429252848,5.4036950022647,100.0,0.0,0.0
260203-2,GOx,5.0,3,129.34,126.39143093244853,72.97212667211116,47.58044385733415,45.65477718756442,26.358797899032705
260203-2,GOx,10.0,3,213.75603174603168,156.95176386576372,90.61614311768527,79.00136749001535,57.600116568153965,33.255442805977516
260203-2,GOx,15.0,3,221.71333333333328,171.57756558219114,99.06035367577873,81.73835398139305,62.86395114453379,36.29451911562007
260203-2,GOx,20.0,3,253.04111111111106,10.26049941026984,5.9239020965392895,94.96624876774221,5.3360786046698685,3.0807864188231515
260203-2,GOx,40.0,3,135.67984126984126,5.294223102734378,3.056621133513629,50.921223953125285,2.871755008765394,1.6580085273573564
260203-2,GOx,60.0,3,22.763362193362198,3.7237453783872176,2.1499053966054853,8.538564935714895,1.3776705700052525,0.7953984744471577
260203-2,PMBTA-1,0.0,3,252.68952380952373,7.005374872018324,4.04455506813402,100.0,1.0048591735576161e-14,5.801557143511546e-15
260203-2,PMBTA-1,5.0,3,184.3809523809523,145.41292274618266,83.95419009115882,72.32482976869126,56.84875289325809,32.82164278601707
260203-2,PMBTA-1,10.0,3,103.40920634920629,141.72009894097505,81.82213727315235,41.545113300369415,57.38313391954837,33.1301678153956
260203-2,PMBTA-1,15.0,3,319.91777777777764,11.705448557228648,6.758143875501276,126.68809952496606,6.441524386340396,3.719015838445167
260203-2,PMBTA-1,20.0,3,252.82666666666668,11.081447458602932,6.397876673235098,100.15579553953584,6.445444809850347,3.7212792960139742
260203-2,PMBTA-1,40.0,3,144.13944444444442,11.136530927866675,6.429679129042418,57.01000894149359,3.4227819411443923,1.9761440750971049
260203-2,PMBTA-1,60.0,3,21.683030303030307,3.1237882395657204,1.803519981004656,8.56272187232373,0.9858624399227114,0.5691879450733187
260203-2,PMBTA-2,0.0,3,180.83714285714277,153.1159717368081,88.40154749947729,100.0,0.0,0.0
260203-2,PMBTA-2,5.0,3,259.66603174603165,4.101634686934477,2.3680798906191267,2238.9889167984943,3712.1930186811824,2143.23563861943
260203-2,PMBTA-2,10.0,3,20.439047619047578,6.829891085873758,3.9432394569650397,109.84956890981466,174.58602624829655,100.7972892512011
260203-2,PMBTA-2,15.0,3,308.77777777777777,10.567794016272714,6.101318720035568,2635.805878650381,4367.055646754564,2521.320753219823
260203-2,PMBTA-2,20.0,3,255.84222222222215,7.126593648934712,4.114540761617533,2183.4788914059905,3617.5814521165303,2088.611625194876
260203-2,PMBTA-2,40.0,3,128.06349206349208,9.478084604707764,5.472174697930075,1142.6899615454174,1898.9090832991133,1096.3356704093685
260203-2,PMBTA-2,60.0,3,20.809754689754694,1.7907392305617749,1.033883776813264,174.08789476840604,288.0236369656415,166.29052433508818
260203-2,PMBTA-3,0.0,3,273.19904761904746,2.819471654080472,1.62782271845588,100.0,0.0,0.0
260203-2,PMBTA-3,5.0,3,205.61079365079354,101.34374364863164,58.51083767622191,75.30742080964215,37.19540118704233,21.474774887955014
260203-2,PMBTA-3,10.0,3,180.75079365079364,156.6225522500454,90.42607270272994,66.05708297423355,57.15905665845652,33.00079674838494
260203-2,PMBTA-3,15.0,3,317.47111111111104,16.814408613954775,9.707803339531152,116.20398959367503,5.996428566179016,3.462039646859817
260203-2,PMBTA-3,20.0,3,254.2877777777777,22.233685487799143,12.836624301458311,93.04404167014445,7.431805937331227,4.290755158483243
260203-2,PMBTA-3,40.0,3,136.82515873015873,9.753779302223927,5.631347105755185,50.09158033241348,3.7001411656519814,2.1362774980287873
