polymer_id,heat_min,abs_activity,REA_percent
GOx,0.0,266.70603174603167,100.0
GOx,5.0,129.34,47.58044385733415
GOx,10.0,213.75603174603168,79.00136749001535
GOx,15.0,221.71333333333328,81.73835398139305
GOx,20.0,253.04111111111106,94.96624876774221
GOx,40.0,135.67984126984126,50.921223953125285
GOx,60.0,22.763362193362198,8.538564935714895
PMBTA-1,0.0,252.68952380952373,100.0
PMBTA-1,5.0,184.3809523809523,72.32482976869126
PMBTA-1,10.0,103.40920634920629,41.545113300369415
PMBTA-1,15.0,319.91777777777764,126.68809952496606
PMBTA-1,20.0,252.82666666666668,100.15579553953584
PMBTA-1,40.0,144.13944444444442,57.01000894149359
PMBTA-1,60.0,21.683030303030307,8.56272187232373
PMBTA-2,0.0,180.83714285714277,100.0
PMBTA-2,5.0,259.66603174603165,2238.9889167984943
PMBTA-2,10.0,20.439047619047578,109.84956890981466
PMBTA-2,15.0,308.77777777777777,2635.805878650381
PMBTA-2,20.0,255.84222222222215,2183.4788914059905
PMBTA-2,40.0,128.06349206349208,1142.6899615454174
PMBTA-2,60.0,20.809754689754694,174.08789476840604
PMBTA-3,0.0,273.19904761904746,100.0
PMBTA-3,5.0,205.61079365079354,75.30742080964215
PMBTA-3,10.0,180.75079365079364,66.05708297423355
PMBTA-3,15.0,317.47111111111104,116.20398959367503
PMBTA-3,20.0,254.2877777777777,93.04404167014445
PMBTA-3,40.0,136.82515873015873,50.09158033241348
PMBTA-3,60.0,24.07171717171718,8.813436215431537
PMBTA-4,0.0,174.62190476190472,100.0
PMBTA-4,5.0,105.24126984126976,110.79051589132276
PMBTA-4,10.0,117.2909523809523,82.66336114678232
PMBTA-4,15.0,334.4488888888888,882.7418875313614
PMBTA-4,20.0,250.83999999999995,713.2480136594731
PMBTA-4,40.0,140.71563492063493,368.70105394393244
PMBTA-4,60.0,22.66728715728716,56.10594497205861
PMBTA-5,0.0,95.95142857142854,100.0
PMBTA-5,5.0,183.16190476190468,850.9571000780992
PMBTA-5,10.0,282.28873015873006,1638.0623631059395
PMBTA-5,15.0,314.131111111111,1979.8376674961748
PMBTA-5,20.0,243.98333333333326,1477.8872081263535
PMBTA-5,40.0,134.96309523809524,821.0101223134947
PMBTA-5,60.0,23.085959595959597,137.45523100105046
PMPC,0.0,173.35460317460306,100.0
PMPC,5.0,229.18158730158726,857.7087055684589
PMPC,10.0,222.25507936507927,1119.2747282752848
PMPC,15.0,302.9555555555555,1009.6043930812552
PMPC,20.0,260.97888888888883,851.4539410092729
PMPC,40.0,144.08373015873016,447.0840897846583
PMPC,60.0,23.554747474747483,81.61195358447493
PMTAC,0.0,104.77095238095232,100.0
PMTAC,5.0,258.35650793650785,1424.8925623175567
PMTAC,10.0,132.73952380952372,1156.2708031023237
PMTAC,15.0,299.57555555555547,1671.856155553546
PMTAC,20.0,253.4866666666666,1411.1155213961767
PMTAC,40.0,141.0985714285714,806.3959731003637
PMTAC,60.0,23.523838383838385,131.38893462413802
