run_id,polymer_id,polymer_label,reference_polymer_id,n_points,abs_activity_at_0,native_activity_rel_at_0,native_0,native_activity_min_rel_threshold,native_activity_feasible,abs_activity_at_20,u_at_20,t_theta_min,t_theta_censor_flag,functional_activity_at_20_rel,gox_abs_activity_at_0_ref,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,y0_REA_percent,t50_definition,t50_target_rea_percent,t50_linear_min,t50_exp_min,rea_at_20_percent,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260216-2,GOx,GOx,GOX,7,20.820952380952377,1.0,1.0,0.7,1,4.120808080808081,0.19791640677195527,6.135328681601171,,1.0,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,10.189578971853916,9.47618365375417,19.791640677195527,exp,0.07314623754525293,13.671243163824197,,0.9913027151999124,exp
260216-2,GOx with DMSO,GOx with DMSO,GOX,7,21.826666666666657,1.0483029914920865,1.0483029914920865,0.7,1,4.3900000000000015,0.21084530235111162,6.491808074897599,,1.0653250318658694,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,9.30368636629608,9.193655017528464,20.11301160659745,exp,0.07539408203140131,13.263640501432251,,0.9924252395382875,exp
260216-2,GOx with EtOH,GOx with EtOH,GOX,7,18.852380952380944,0.9054523831305459,0.9054523831305459,0.7,1,3.8635930735930737,0.18556274482081822,7.135814481472471,,0.9375814155449412,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,11.630354811914085,10.801295065127643,20.49392638177686,exp,0.06417259933929544,15.582974825638086,,0.9481573726134882,exp
260216-2,PMPC,PMPC,GOX,7,22.7,1.0902479187631509,1.0902479187631509,0.7,1,5.66825396825397,0.27223797761717455,10.921396817215385,,1.3755200089644646,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.102892854841825,11.540837914522465,24.97028179847564,exp,0.060060386056346955,16.649909626984886,,0.9613335279345369,exp
260216-2,PMTAC,PMTAC,GOX,7,15.430606060606063,0.7411095217105649,0.7411095217105649,0.7,1,6.422164502164503,0.3084472018695787,1.3815860268274225,,1.5584721191153195,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,18.38343687765174,17.723675916121287,41.61965172942962,exp,0.039108545193464364,25.569859350511337,,0.925242111187377,exp
260216-2,PMBTA-1,PMBTA-1,GOX,7,26.36476190476189,1.2662610923062845,1.2662610923062845,0.7,1,4.971948051948053,0.2387954191997739,12.221686241610735,,1.2065468603364478,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.754718959731544,11.925692437658522,18.858308183887072,exp,0.05812217480732188,17.205137338976964,,0.9527925607782212,exp
260216-2,PMBTA-2,PMBTA-2,GOX,7,29.34999999999999,1.4096377275638092,1.4096377275638092,0.7,1,4.127878787878789,0.19825600252825584,10.469778165503486,,1.001715854495539,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,10.371307951146559,9.145913512178453,14.06432295699758,exp,0.07578763779440612,13.194764068419216,,0.9869803638819914,exp
260216-2,PMBTA-3,PMBTA-3,GOX,7,25.306666666666658,1.2154423200073183,1.2154423200073183,0.7,1,4.692424242424242,0.2253702979848804,11.422387248686832,,1.1387145798607705,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.24941133852563,11.158212836278059,18.54224542580708,exp,0.062119910305560355,16.09789832408193,,0.9700856663431086,exp
260216-2,PMBTA-4,PMBTA-4,GOX,7,29.263333333333325,1.405475253865154,1.405475253865154,0.7,1,7.095634920634924,0.34079300460464146,13.495617529880473,,1.7219037580715202,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.436005976095615,11.67986760498047,24.247527921067068,exp,0.059345465548289,16.85048707194498,,0.9827483284358222,exp
260216-2,PMBTA-5,PMBTA-5,GOX,7,22.139999999999997,1.0633519348641478,1.0633519348641478,0.7,1,6.707222222222222,0.32213810874271953,6.764249347452835,,1.6276473183645452,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,12.992501704158148,11.50686288004444,30.294589982936877,exp,0.06023771967962029,16.60089401322941,,0.9867006685888292,exp
260216-2,PMBTA-6,PMBTA-6,GOX,7,29.236666666666665,1.4041944927271066,1.4041944927271066,0.7,1,6.80198412698413,0.3266893849297108,13.47557404838958,,1.650643270348634,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.44024503005085,11.874092991494862,23.26525183097981,exp,0.05837474753283729,17.130695073884034,,0.9739101035704464,exp
260216-2,PMBTA-7,PMBTA-7,GOX,7,27.604761904761897,1.3258164852255052,1.3258164852255052,0.7,1,4.394112554112556,0.21104282233181704,8.935916542473919,,1.0663230288683767,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,9.40072222859108,8.795035498670968,15.917951291420335,exp,0.07881118622712642,12.688554098374997,,0.9863790299238463,exp
260216-2,PMBTA-8,PMBTA-8,GOX,7,26.723809523809518,1.2835056262007134,1.2835056262007134,0.7,1,4.046580086580088,0.1943513443833635,8.672394173873467,,0.9819870295407114,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,9.396904870277655,8.569779308265748,15.142227693902688,exp,0.08088273403859876,12.363578109547845,,0.9809668565472118,exp
260216-2,PMBTA-9,PMBTA-9,GOX,7,27.88857142857142,1.3394474430518706,1.3394474430518706,0.7,1,4.234242424242424,0.20336449297660536,9.177361548851872,,1.0275272085498577,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,9.534984241332738,8.817495791196137,15.18271538249,exp,0.07861043509110838,12.720957451017975,,0.9786231154709968,exp
260216-2,PMBTA-10,PMBTA-10,GOX,7,18.474545454545453,0.8873054947979475,0.8873054947979475,0.7,1,6.907575757575759,0.3317607970658928,7.371810794143224,,1.6762672811059909,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,13.976756399299884,14.394700205684977,37.38969261555622,exp,0.04815294314265725,20.767162601825056,,0.9758705694083402,exp
260216-2,PMBTA-11,PMBTA-11,GOX,7,27.76190476190476,1.3333638276461441,1.3333638276461441,0.7,1,6.194444444444444,0.29751013935900955,10.552775605942141,,1.503211099127365,20.820952380952377,4.120808080808081,same_run_gox,,260216-2,100.0,rea50,50.0,11.264659890539484,10.991000045522187,22.312750142938825,exp,0.06306497840861519,15.85666126008523,,0.973226773556846,exp
