plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,baseline_abs_activity,REA_percent,run_id
plate1,C2,C,2,5.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,11.850476190476186,11.850476190476186,492.61142857142926,0.9998194712313917,6.0,6.0,156.0,initial_positive,initial_positive,,1420.5,1.0,0.0,5.0,5.0,36.69435,8.158547956708016,174.1118649467373,0.0,,0,16.68761904761904,71.01358292432371,Organic_Concentration
plate1,C3,C,3,10.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,5.23878787878788,5.23878787878788,391.29454545454485,0.9995770053533525,11.0,6.0,306.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1408.0,1.0,0.0,10.0,10.0,17.235225,10.22377718041188,137.71818136818382,0.0,,0,16.68761904761904,31.393261458322545,Organic_Concentration
plate1,C4,C,4,15.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,2.0930735930735938,2.0930735930735938,339.6147186147191,0.9993967538453469,21.0,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,646.5,1.0,0.0,11.0,11.0,5.003774999999999,3.915842049779193,165.09858972383472,0.0,,0,16.68761904761904,12.542673625883314,Organic_Concentration
plate1,C5,C,5,20.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,0.8799999999999999,0.8799999999999999,272.19619047619057,0.999418892348229,21.0,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,247.5,1.0,0.0,10.0,10.0,2.2239,1.8360485778337334,134.80035495132634,0.0,,0,16.68761904761904,5.273370619792263,Organic_Concentration
plate1,C6,C,6,40.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,0.1096969696969701,0.1096969696969701,233.9781818181818,0.9936609038519867,11.0,6.0,306.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,29.5,1.0,0.0,10.0,9.0,1.6679249999999999,0.8312094145936334,35.49045460990916,0.0,,0,16.68761904761904,0.6573554285002776,Organic_Concentration
plate1,C7,C,7,60.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,0.0499999999999996,0.0499999999999996,218.75555555555573,0.9360554699537754,9.0,336.0,576.0,initial_positive,initial_positive,,9.5,1.0,0.0,6.0,2.0,1.6679249999999999,1.012270397682697,9.38484422910928,0.0,,0,16.68761904761904,0.29962333067001257,Organic_Concentration
plate1,D1,D,1,0.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,16.986666666666665,16.986666666666665,563.6799999999996,0.9996249272488198,4.0,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1528.0,1.0,0.0,5.0,5.0,92.84782499999999,11.036303729057147,138.45215187190226,0.0,,0,16.68761904761904,101.79203287295974,Organic_Concentration
plate1,D2,D,2,5.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,11.725714285714282,11.725714285714282,546.8838095238099,0.9995326974624009,6.0,6.0,156.0,initial_positive,initial_positive,,1408.5,1.0,0.0,5.0,5.0,38.91825,12.989861736620188,108.43071531925074,0.0,,0,16.68761904761904,70.26595137541378,Organic_Concentration
plate1,D3,D,3,10.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,5.826666666666667,5.826666666666667,426.84000000000077,0.99979843723414,9.0,6.0,246.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1224.5,1.0,0.0,8.0,8.0,15.011325,6.408327915038882,191.07948535626386,0.0,,0,16.68761904761904,34.916105467412414,Organic_Concentration
plate1,D4,D,4,15.0,GOx with DMSO (high C),,GOx_DMSO_EtOH.csv,False,True,False,ok,2.154372294372295,2.154372294372295,360.9525541125546,0.9992945952253044,21.0,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,479.5,1.0,0.0,8.0,8.0,6.115724999999999,4.7040828077031565,101.93272941851582,0.0,,0,16.68761904761904,12.910004046860578,Organic_Concentration
