run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,fog_native_constrained,t50_min
260216-3,PMBTA-10,0.7255170673405511,0.7255170673405511,0.7,1,1.8926232232929203,1.8926232232929203,16.942124729062243
260216-3,PMTAC,0.8314741712472612,0.8314741712472612,0.7,1,1.5663974258418545,1.5663974258418545,14.02186142349128
260216-3,PMBTA-6,1.3861575613979131,1.3861575613979131,0.7,1,1.3294349885666028,1.3294349885666028,11.900653610435423
260216-3,PMPC,1.0721283091083063,1.0721283091083063,0.7,1,1.320451595184955,1.320451595184955,11.820237302905758
260216-3,PMBTA-4,1.3746753542625412,1.3746753542625412,0.7,1,1.319886081850699,1.319886081850699,11.81517501828038
260216-3,PMBTA-1,1.2451815737914065,1.2451815737914065,0.7,1,1.3140697803544232,1.3140697803544232,11.763109449075174
260216-3,PMBTA-5,1.0672073631931471,1.0672073631931471,0.7,1,1.2990551914932047,1.2990551914932047,11.628703913883776
260216-3,PMBTA-3,1.2104160021870873,1.2104160021870873,0.7,1,1.2857730460331172,1.2857730460331172,11.509806627680751
260216-3,PMBTA-11,1.4177336310201845,1.4177336310201845,0.7,1,1.149812018947334,1.149812018947334,10.29272937171693
260216-3,GOx with EtOH,0.9431357360914928,0.9431357360914928,0.7,1,1.1048769662874585,1.1048769662874585,9.890485936520127
260216-3,PMBTA-2,1.3694126759921625,1.3694126759921625,0.7,1,1.029888270424765,1.029888270424765,9.21921242421216
260216-3,PMBTA-7,1.2940265184307649,1.2940265184307649,0.7,1,0.9900034463426063,0.9900034463426063,8.862176931843557
260216-3,GOx with DMSO,1.0462933430537202,1.0462933430537202,0.7,1,0.9886879324504056,0.9886879324504056,8.85040089519232
260216-3,PMBTA-8,1.2996764933703921,1.2996764933703921,0.7,1,0.9585968415857503,0.9585968415857503,8.581035599243169
260216-3,PMBTA-9,1.3626008110447894,1.3626008110447894,0.7,1,0.9542658336885992,0.9542658336885992,8.54226587736032
