polymer_id,frac_MPC,frac_BMA,frac_MTAC,x,y
PMPC,1.0,0.0,0.0,,
PMTAC,0.0,0.0,1.0,0,1
PMBTA-1,0.8,0.04,0.16,0.2,0.2
PMBTA-2,0.5,0.35,0.15,,
PMBTA-3,0.45,0.4,0.15,,
PMBTA-4,0.5,0.45,0.05,,
PMBTA-5,0.55,0.35,0.1,,
PMBTA-6,0.4,0.5,0.1,,
PMBTA-7,0.45,0.45,0.1,,
PMBTA-8,0.35,0.55,0.1,,
PMBTA-9,0.4,0.5,0.1,,
PMBTA-10,0.5,0.4,0.1,,
PMBTA-11,0.35,0.5,0.15,,
