run_id,polymer_id,fog,log_fog,fog_missing_reason,gox_t50_same_run_min,t50_min,t50_censored,use_for_bo,rank_fog
260209-2,GOx,1.0,0.0,,23.30168136577413,23.30168136577413,0,True,1
260209-2,PMBTA-10,0.7306063024359707,-0.3138805382744079,,23.30168136577413,17.024355263189396,0,True,2
260209-2,PMPC,0.6400542224280681,-0.44620238367331516,,23.30168136577413,14.914339547837164,0,True,3
260209-2,PMBTA-11,0.5146731333425838,-0.6642232723596484,,23.30168136577413,11.992749360673468,0,True,4
260209-2,PMBTA-3,0.508971705069772,-0.6753628532306403,,23.30168136577413,11.859896495730592,0,True,5
260209-2,PMTAC,0.49355375904633986,-0.7061234918037332,,23.30168136577413,11.500632430177872,0,True,6
260209-2,GOx with DMSO,0.48969188945670056,-0.7139788826803687,,23.30168136577413,11.410644375523924,0,True,7
260209-2,PMBTA-1,0.45794609037606027,-0.7810038083984063,,23.30168136577413,10.670913880644958,0,True,8
260209-2,PMBTA-9,0.4535065358932538,-0.7907455974177809,,23.30168136577413,10.567464796680609,0,True,9
260209-2,PMBTA-4,0.4468774568533644,-0.8054708676952955,,23.30168136577413,10.412996109144574,0,True,10
260209-2,PMBTA-6,0.4309671024967539,-0.8417235201053392,,23.30168136577413,10.04225810151028,0,True,11
260209-2,PMBTA-5,0.42375058972362556,-0.858610228610273,,23.30168136577413,9.874101220298805,0,True,12
260209-2,PMBTA-8,0.38794925152316656,-0.9468807429566664,,23.30168136577413,9.039869845083391,0,True,13
260209-2,PMBTA-7,0.38043836240936657,-0.9664311058421347,,23.30168136577413,8.864853500179962,0,True,14
260209-2,PMBTA-2,0.3453127586938669,-1.0633047256775356,,23.30168136577413,8.046367874620937,0,True,15
260209-2,background,0.02451822341856716,-3.708338624920509,,23.30168136577413,0.5713158297543133,0,True,16
