run_id,polymer_id,t50_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,use_for_bo,rank_t50
260209-2,GOx,23.30168136577413,0,rea50,50.0,58.90508678209011,True,1
260209-2,PMBTA-10,17.024355263189396,0,rea50,50.0,49.18622580092511,True,2
260209-2,PMPC,14.914339547837164,0,rea50,50.0,32.67428526236706,True,3
260209-2,PMBTA-11,11.992749360673468,0,rea50,50.0,30.349427906755945,True,4
260209-2,PMBTA-3,11.859896495730592,0,rea50,50.0,28.429786351379395,True,5
260209-2,PMTAC,11.500632430177872,0,rea50,50.0,21.51716463615855,True,6
260209-2,GOx with DMSO,11.410644375523924,0,rea50,50.0,28.931266248177057,True,7
260209-2,PMBTA-1,10.670913880644958,0,rea50,50.0,25.41288446285361,True,8
260209-2,PMBTA-9,10.567464796680609,0,rea50,50.0,25.895084660783013,True,9
260209-2,PMBTA-4,10.412996109144574,0,rea50,50.0,26.572625256835785,True,10
260209-2,PMBTA-6,10.04225810151028,0,rea50,50.0,21.106837752288904,True,11
260209-2,PMBTA-5,9.874101220298805,0,rea50,50.0,24.88788982147845,True,12
260209-2,PMBTA-8,9.039869845083391,0,rea50,50.0,21.148004191926564,True,13
260209-2,PMBTA-7,8.864853500179962,0,rea50,50.0,21.209688314794143,True,14
260209-2,PMBTA-2,8.046367874620937,0,rea50,50.0,18.078920867849675,True,15
260209-2,background,0.5713158297543133,0,rea50,50.0,0.1718409898041001,True,16
