run_id,polymer_id,native_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,fog_native_constrained,t50_min
260209-2,PMBTA-10,0.8012837391095745,0.8012837391095745,0.7,1,0.758335533250903,0.758335533250903,17.024355263189396
260209-2,PMPC,1.0357855441848491,1.0357855441848491,0.7,1,0.6643466644842128,0.6643466644842128,14.914339547837164
260209-2,PMBTA-11,1.8075561562721247,1.8075561562721247,0.7,1,0.5342068960012376,0.5342068960012376,11.992749360673468
260209-2,PMBTA-3,1.5514578103881056,1.5514578103881056,0.7,1,0.5282890772866455,0.5282890772866455,11.859896495730592
260209-2,PMTAC,1.0305963184655982,1.0305963184655982,0.7,1,0.5122859627770527,0.5122859627770527,11.500632430177872
260209-2,GOx with DMSO,1.691768037587694,1.691768037587694,0.7,1,0.5082775208503405,0.5082775208503405,11.410644375523924
260209-2,PMBTA-1,1.825802922057025,1.825802922057025,0.7,1,0.47532685043588263,0.47532685043588263,10.670913880644958
260209-2,PMBTA-9,1.775793267683594,1.775793267683594,0.7,1,0.47071879832232927,0.47071879832232927,10.567464796680609
260209-2,PMBTA-4,1.9003668661903848,1.9003668661903848,0.7,1,0.4638381210383861,0.4638381210383861,10.412996109144574
260209-2,PMBTA-6,1.7191220956426594,1.7191220956426594,0.7,1,0.4473239094650628,0.4473239094650628,10.04225810151028
260209-2,PMBTA-5,1.8825706378322713,1.8825706378322713,0.7,1,0.4398335031494099,0.4398335031494099,9.874101220298805
260209-2,PMBTA-8,1.7643045633005088,1.7643045633005088,0.7,1,0.40267337079793686,0.40267337079793686,9.039869845083391
260209-2,PMBTA-7,1.8839222501126338,1.8839222501126338,0.7,1,0.39487741546287985,0.39487741546287985,8.864853500179962
260209-2,PMBTA-2,2.132393640986033,2.132393640986033,0.7,1,0.35841866423730073,0.35841866423730073,8.046367874620937
