select_method_used,count,fraction
initial_positive,42,0.3853211009174312
initial_positive_promote_long_ext,39,0.3577981651376147
initial_positive_tangent,16,0.14678899082568808
initial_positive_ext,6,0.05504587155963303
initial_positive_promote_long_ext_tangent_post_broad_overfit_ext,1,0.009174311926605505
full_range_outlier_skip,1,0.009174311926605505
initial_positive_ext_intskip1,1,0.009174311926605505
initial_positive_post_broad_overfit_ext,1,0.009174311926605505
initial_positive_promote_long_ext_tangent,1,0.009174311926605505
initial_positive_ext_post_broad_overfit_ext,1,0.009174311926605505
