run_id,polymer_id,reference_polymer_id,t50_min,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_activity_at_20_rel,log_functional_activity_at_20_rel,functional_reference_source,functional_reference_round_id,functional_reference_run_id,t50_censored,gox_t50_same_run_min,fog,log_fog,fog_native_constrained,log_fog_native_constrained,fog_constraint_reason,fog_missing_reason,use_for_bo,n_points,input_t50_file,input_tidy
260216-2,GOx,GOX,9.47616678571503,rea50,50.0,19.791640677195527,20.820952380952377,20.820952380952377,20.820952380952377,1.0,0.7,1,4.120808080808081,4.120808080808081,1.0,0.0,same_run_gox,,260216-2,0,9.47616678571503,1.0,0.0,1.0,0.0,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,GOx with DMSO,GOX,9.193772472882811,rea50,50.0,20.11301160659745,21.826666666666657,20.820952380952377,20.820952380952377,1.0483029914920865,0.7,1,4.3900000000000015,4.120808080808081,1.0653250318658694,0.06327994683935266,same_run_gox,,260216-2,0,9.47616678571503,0.9701995206270623,-0.03025353726817215,0.9701995206270623,-0.03025353726817215,,,False,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,GOx with EtOH,GOX,10.801295065127643,rea50,50.0,20.49392638177686,18.852380952380944,20.820952380952377,20.820952380952377,0.9054523831305459,0.7,1,3.8635930735930737,4.120808080808081,0.9375814155449412,-0.06445168166029042,same_run_gox,,260216-2,0,9.47616678571503,1.1398380072214638,0.13088615338085427,1.1398380072214638,0.13088615338085427,,,False,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMPC,GOX,11.540786617362423,rea50,50.0,24.97028179847564,22.7,20.820952380952377,20.820952380952377,1.0902479187631509,0.7,1,5.66825396825397,4.120808080808081,1.3755200089644646,0.31883184796114283,same_run_gox,,260216-2,0,9.47616678571503,1.2178749992834372,0.1971075361749969,1.2178749992834372,0.1971075361749969,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMTAC,GOX,16.1537525218596,rea50,50.0,40.68250250920042,15.786060606060602,20.820952380952377,20.820952380952377,0.7581814855165875,0.7,1,6.422164502164503,4.120808080808081,1.5584721191153197,0.44370593050175666,same_run_gox,,260216-2,0,9.47616678571503,1.7046716132319224,0.5333724899752763,1.7046716132319224,0.5333724899752763,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-1,GOX,11.925540919059324,rea50,50.0,18.858308183887072,26.36476190476189,20.820952380952377,20.820952380952377,1.2662610923062845,0.7,1,4.971948051948053,4.120808080808081,1.2065468603364478,0.18776244522629457,same_run_gox,,260216-2,0,9.47616678571503,1.2584773135311036,0.22990250883647645,1.2584773135311036,0.22990250883647645,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-2,GOX,9.145913512178453,rea50,50.0,14.06432295699758,29.34999999999999,20.820952380952377,20.820952380952377,1.4096377275638092,0.7,1,4.127878787878789,4.120808080808081,1.001715854495539,0.0017143840989647375,same_run_gox,,260216-2,0,9.47616678571503,0.9651490649115186,-0.03547271816173088,0.9651490649115186,-0.03547271816173088,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-3,GOX,11.158148288863966,rea50,50.0,18.54224542580708,25.306666666666658,20.820952380952377,20.820952380952377,1.2154423200073183,0.7,1,4.692424242424242,4.120808080808081,1.1387145798607703,0.1299000647050038,same_run_gox,,260216-2,0,9.47616678571503,1.1774959792481134,0.16339013225132212,1.1774959792481134,0.16339013225132212,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-4,GOX,11.67986760498047,rea50,50.0,24.247527921067068,29.263333333333325,20.820952380952377,20.820952380952377,1.405475253865154,0.7,1,7.095634920634924,4.120808080808081,1.7219037580715202,0.5434305148220068,same_run_gox,,260216-2,0,9.47616678571503,1.232551924116346,0.2090867551477861,1.232551924116346,0.2090867551477861,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-5,GOX,11.50686288004444,rea50,50.0,30.29458998293688,22.14,20.820952380952377,20.820952380952377,1.063351934864148,0.7,1,6.707222222222222,4.120808080808081,1.6276473183645452,0.48713560920040366,same_run_gox,,260216-2,0,9.47616678571503,1.2142950984559084,0.19416374255125543,1.2142950984559084,0.19416374255125543,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
260216-2,PMBTA-6,GOX,11.874092991494862,rea50,50.0,23.26525183097981,29.236666666666665,20.820952380952377,20.820952380952377,1.4041944927271066,0.7,1,6.80198412698413,4.120808080808081,1.650643270348634,0.5011650727538608,same_run_gox,,260216-2,0,9.47616678571503,1.2530481216724274,0.22557908034201637,1.2530481216724274,0.22557908034201637,,,True,7,t50__260216-2.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260216-2/extract/tidy.csv
