polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-11,1.0284982060481807,1.071524111959006,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,1.071524111959006,1,1,0.0
PMPC,1.2171791671394532,0.9245869872911108,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9786870761602672,2,2,0.0
PMBTA-4,1.0078933880061507,0.9708517692901263,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9708517692901263,3,3,0.0
PMBTA-1,1.0415295586066038,0.9690878874825947,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9690878874825947,4,4,0.0
PMBTA-9,0.9695540748334187,1.0039162085074396,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9437164774977653,5,5,0.0
PMBTA-6,1.0037929267042542,0.9243008269244841,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9243008269244841,6,6,0.0
PMBTA-3,1.0016401845207585,0.9166490190771217,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.9166490190771217,7,7,0.0
PMBTA-5,0.9333675038441823,1.0142944196266372,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.883627836781551,8,8,0.0
PMBTA-7,0.9555099948744236,0.8966662532539017,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8186557066611599,9,9,0.0
PMBTA-8,0.9495643259866736,0.9056233207140945,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.8165755614037793,10,10,0.0
PMBTA-2,0.9555099948744236,0.8485762107969449,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.7747495291418224,11,11,0.0
PMBTA-10,0.5744917136511195,1.5956638764220237,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.5266340690991371,12,12,0.0
PMTAC,0.6745258841619681,0.6671356421291814,,default,"Default (exp=2.0, bonus=0.35)",2.0,0.35,0.05,0.3,0.30353682248277974,13,13,0.0
PMBTA-11,1.0284982060481807,1.071524111959006,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,1.071524111959006,1,1,0.0
PMBTA-4,1.0078933880061507,0.9708517692901263,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9708517692901263,2,3,-1.0
PMBTA-1,1.0415295586066038,0.9690878874825947,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9690878874825947,3,4,-1.0
PMBTA-9,0.9695540748334187,1.0039162085074396,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9437164774977653,4,5,-1.0
PMPC,1.2171791671394532,0.9245869872911108,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9245869872911108,5,2,3.0
PMBTA-6,1.0037929267042542,0.9243008269244841,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9243008269244841,6,6,0.0
PMBTA-3,1.0016401845207585,0.9166490190771217,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.9166490190771217,7,7,0.0
PMBTA-5,0.9333675038441823,1.0142944196266372,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.883627836781551,8,8,0.0
PMBTA-7,0.9555099948744236,0.8966662532539017,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8186557066611599,9,9,0.0
PMBTA-8,0.9495643259866736,0.9056233207140945,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.8165755614037793,10,10,0.0
PMBTA-2,0.9555099948744236,0.8485762107969449,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.7747495291418224,11,11,0.0
PMBTA-10,0.5744917136511195,1.5956638764220237,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.5266340690991371,12,12,0.0
PMTAC,0.6745258841619681,0.6671356421291814,,penalty_only,"Penalty-only (exp=2.0, bonus=0.00)",2.0,0.0,0.05,0.3,0.30353682248277974,13,13,0.0
PMBTA-11,1.0284982060481807,1.071524111959006,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.071524111959006,1,1,0.0
PMPC,1.2171791671394532,0.9245869872911108,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9786870761602672,2,2,0.0
PMBTA-4,1.0078933880061507,0.9708517692901263,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9708517692901263,3,3,0.0
PMBTA-1,1.0415295586066038,0.9690878874825947,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9690878874825947,4,4,0.0
PMBTA-9,0.9695540748334187,1.0039162085074396,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9584192323729002,5,5,0.0
PMBTA-6,1.0037929267042542,0.9243008269244841,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9243008269244841,6,6,0.0
PMBTA-3,1.0016401845207585,0.9166490190771217,,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,0.9166490190771217,7,7,0.0
