run_id,polymer_id,reference_polymer_id,t50_min,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_activity_at_20_rel,log_functional_activity_at_20_rel,functional_reference_source,functional_reference_round_id,functional_reference_run_id,t50_censored,gox_t50_same_run_min,fog,log_fog,fog_native_constrained,log_fog_native_constrained,native_activity_soft_penalty,fog_native_soft,log_fog_native_soft,stock_solvent_group,solvent_group,solvent_control_polymer_id,solvent_control_abs_activity_at_0,solvent_control_t50_min,solvent_control_fog,abs0_vs_solvent_control,fog_vs_solvent_control,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,fog_activity_bonus_penalty,log_fog_activity_bonus_penalty,fog_activity_bonus_penalty_sem,objective_loglinear_main,objective_loglinear_main_exp,fog_solvent_balanced,log_fog_solvent_balanced,fog_constraint_reason,fog_missing_reason,use_for_bo,n_points,input_t50_file,input_tidy,fog_abs_bonus_penalty,fog_abs_modulated,log_fog_abs_bonus_penalty,log_fog_abs_modulated,fog_abs_bonus_penalty_sem,fog_abs_modulated_sem,fog_solvent_balanced_sem
260209-3,GOx,GOX,9.279807323092594,rea50,50.0,26.10655404856656,23.45333333333333,23.45333333333333,23.45333333333333,1.0,0.7,1,6.122857142857143,6.122857142857143,1.0,0.0,same_run_gox,,260209-3,0,9.279807323092594,1.0,0.0,1.0,0.0,1.0,1.0,0.0,PBS,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,1.0,1.0,0.0,0.0,,,
260209-3,GOx with DMSO,GOX,8.965201494920208,rea50,50.0,24.659706620853697,25.22333333333333,23.45333333333333,23.45333333333333,1.07546901648664,0.7,1,6.219999999999996,6.122857142857143,1.015865608959402,0.015741065760969758,same_run_gox,,260209-3,0,9.279807323092594,0.9660978059975991,-0.03449020145017733,0.9660978059975991,-0.03449020145017733,1.0,0.9660978059975991,-0.03449020145017733,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.07546901648664,0.9660978059975991,1.0,1.008914155770324,1.008914155770324,1.0,1.008914155770324,1.008914155770324,0.97470975232963,-0.025615542221057497,,0.03826665938689539,1.0390082572461388,0.97470975232963,-0.025615542221057497,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.97470975232963,0.97470975232963,-0.025615542221057497,-0.025615542221057497,,,
260209-3,PMPC,GOX,13.272634631360342,rea50,50.0,27.899676924746583,15.55666666666666,23.45333333333333,23.45333333333333,0.6633030130756109,0.7,0,4.340259740259742,6.122857142857143,0.7088618334535276,-0.3440946466825078,same_run_gox,,260209-3,0,9.279807323092594,1.4302704969241857,0.35786358507180877,,,0.43997088715518406,0.6292773794036199,-0.4631831347434583,ETOH,ETOH,GOx,23.45333333333333,9.279807323092594,1.0,0.6633030130756109,1.4302704969241857,0.43997088715518406,1.0,0.43997088715518406,0.43997088715518406,1.0,0.43997088715518406,0.6292773794036199,-0.4631831347434583,,-0.05265977483582479,0.9487027301229636,0.6292773794036199,-0.4631831347434583,native_activity_below_threshold,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.6292773794036199,0.6292773794036199,-0.4631831347434583,-0.4631831347434583,,,
260209-3,PMTAC,GOX,8.038680243748136,rea50,50.0,32.38682829192115,19.27878787878788,23.45333333333333,23.45333333333333,0.822006305235413,0.7,1,6.243787927066736,6.122857142857143,0.8808962338464836,-0.12681544222291696,same_run_gox,,260209-3,0,9.279807323092594,0.8662550809373012,-0.14357586305533976,0.8662550809373012,-0.14357586305533976,0.6756943658467749,0.5853236775754764,-0.5355902897607074,PBS,PBS,GOx,23.45333333333333,9.279807323092594,1.0,0.822006305235413,0.8662550809373012,0.6756943658467749,1.0,0.6756943658467749,0.6756943658467749,1.0,0.6756943658467749,0.5853236775754764,-0.5355902897607074,,-0.33958307640802365,0.7120671384726746,0.5853236775754764,-0.5355902897607074,,,True,6,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.5853236775754764,0.5853236775754764,-0.5355902897607074,-0.5355902897607074,,,
260209-3,PMBTA-1,GOX,8.510347507197883,rea50,50.0,21.02593210117421,26.84666666666666,23.45333333333333,23.45333333333333,1.1446844798180784,0.7,1,5.644761904761902,6.122857142857143,0.921916316689998,-0.08130082235384907,same_run_gox,,260209-3,0,9.279807323092594,0.9170823499772536,-0.08655800707484416,0.9170823499772536,-0.08655800707484416,1.0,0.9170823499772536,-0.08655800707484416,ETOH,ETOH,GOx,23.45333333333333,9.279807323092594,1.0,1.1446844798180784,0.9170823499772536,1.0,1.0331395679363273,1.0331395679363273,1.0,1.0331395679363273,1.0331395679363273,0.9474740628175314,-0.05395571673529875,,0.04857102847910648,1.0497699327340535,0.9474740628175314,-0.05395571673529875,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.9474740628175314,0.9474740628175314,-0.05395571673529875,-0.05395571673529875,,,
260209-3,PMBTA-2,GOX,8.541791386659327,rea50,50.0,17.729386737333428,26.00666666666666,23.45333333333333,23.45333333333333,1.1088686753837407,0.7,1,4.610822510822512,6.122857142857143,0.753050806713896,-0.2836225810627909,same_run_gox,,260209-3,0,9.279807323092594,0.9204707694095403,-0.08287003393592467,0.9204707694095403,-0.08287003393592467,1.0,0.9204707694095403,-0.08287003393592467,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.1088686753837407,0.9204707694095403,1.0,1.0206040363843092,1.0206040363843092,1.0,1.0206040363843092,1.0206040363843092,0.9394361826331475,-0.06247538938291196,,0.020470250273228283,1.0206812028046095,0.9394361826331475,-0.06247538938291196,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.9394361826331475,0.9394361826331475,-0.06247538938291196,-0.06247538938291196,,,
260209-3,PMBTA-3,GOX,9.521070422484636,rea50,50.0,21.40056301359876,24.34333333333333,23.45333333333333,23.45333333333333,1.0379476975554291,0.7,1,5.209610389610391,6.122857142857143,0.8508463072158827,-0.1615237692859006,same_run_gox,,260209-3,0,9.279807323092594,1.025998718614735,0.02566649783428427,1.025998718614735,0.02566649783428427,1.0,1.025998718614735,0.02566649783428427,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.0379476975554291,1.025998718614735,1.0,1.0,1.0,1.0,1.0,1.0,1.025998718614735,0.02566649783428427,,0.06291189359694517,1.0649330076809849,1.025998718614735,0.02566649783428427,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,1.025998718614735,1.025998718614735,0.02566649783428427,0.02566649783428427,,,
260209-3,PMBTA-4,GOX,12.630045369733926,rea50,50.0,32.654621117221176,20.70285714285713,23.45333333333333,23.45333333333333,0.8827255745959551,0.7,1,6.760439560439558,6.122857142857143,1.1041315194371653,0.0990590706844661,same_run_gox,,260209-3,0,9.279807323092594,1.3610245266951113,0.30823774459079495,1.3610245266951113,0.30823774459079495,0.7792044400457592,1.0605163542120086,0.058755916131425084,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,0.8827255745959551,1.3610245266951113,0.7792044400457592,1.0,0.7792044400457592,0.7792044400457592,1.0,0.7792044400457592,1.0605163542120086,0.058755916131425084,,0.18349683036110997,1.20141115736613,1.0605163542120086,0.058755916131425084,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,1.0605163542120086,1.0605163542120086,0.058755916131425084,0.058755916131425084,,,
260209-3,PMBTA-5,GOX,9.237697733442822,rea50,50.0,21.43587131822426,25.5,23.45333333333333,23.45333333333333,1.0872654917566802,0.7,1,5.466147186147187,6.122857142857143,0.8927445241024337,-0.11345482626771396,same_run_gox,,260209-3,0,9.279807323092594,0.9954622344857329,-0.0045480924247728455,0.9954622344857329,-0.0045480924247728455,1.0,0.9954622344857329,-0.0045480924247728455,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.0872654917566802,0.9954622344857329,1.0,1.013042922114838,1.013042922114838,1.0,1.013042922114838,1.013042922114838,1.008445970878393,0.008410503232228738,,0.07911772853836013,1.082331735903334,1.008445970878393,0.008410503232228738,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,1.008445970878393,1.008445970878393,0.008410503232228738,0.008410503232228738,,,
260209-3,PMBTA-6,GOX,7.709950827237026,rea50,50.0,16.989517972664046,28.48,23.45333333333333,23.45333333333333,1.2143263217737352,0.7,1,4.83861471861472,6.122857142857143,0.7902543870812656,-0.23540037639120187,same_run_gox,,260209-3,0,9.279807323092594,0.83083091693628,-0.1853289742201518,0.83083091693628,-0.1853289742201518,1.0,0.83083091693628,-0.1853289742201518,DMSO,PBS,GOx,23.45333333333333,9.279807323092594,1.0,1.2143263217737352,0.83083091693628,1.0,1.0575142126208072,1.0575142126208072,1.0,1.0575142126208072,1.0575142126208072,0.8786155029448934,-0.12940790254161894,,0.008860481122375613,1.0088998513791325,0.8786155029448934,-0.12940790254161894,,,True,7,t50__260209-3.csv,/home/shunya/research/gox_plate_pipeline/data/processed/260209-3/extract/tidy.csv,0.8786155029448934,0.8786155029448934,-0.12940790254161894,-0.12940790254161894,,,
