select_method_used,count,fraction
initial_positive_ext,21,0.4117647058823529
initial_positive_ext_tangent,10,0.19607843137254902
last_resort,7,0.13725490196078433
full_range_outlier_skip,6,0.11764705882352941
initial_positive,5,0.09803921568627451
outlier_removed,1,0.0196078431372549
initial_positive_ext_intskip1_tangent,1,0.0196078431372549
