plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,run_id
plate2,C4,C,4,15.0,PMBTA-6,,2-plate6.csv,True,True,False,ok,14.472380952380949,14.472380952380949,693.7371428571438,0.9995111313026942,6,6.0,156.0,initial_positive,initial_positive,,1737.0,1.0,0,5,5,81.17235,16.398606212550003,105.92363628260993,0,,0,260211-3
plate2,C5,C,5,20.0,PMBTA-6,,2-plate6.csv,True,True,False,ok,6.622222222222226,6.622222222222226,464.43333333333266,0.9997832774639522,8,6.0,216.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1192.0,1.0,0,7,7,19.459125,6.701989754294363,177.85762791356655,0,,0,260211-3
plate2,C6,C,6,40.0,PMBTA-6,,2-plate6.csv,True,True,False,ok,0.5019913419913422,0.5019913419913422,304.1049350649352,0.999373147364475,21,6.0,606.0,initial_positive_ext,initial_positive_ext,,63.0,1.0,0,5,5,2.2239,2.40897791670545,26.15216999835909,0,,0,260211-3
plate2,C7,C,7,60.0,PMBTA-6,,2-plate6.csv,True,True,False,ok,0.17999999999999655,0.17999999999999655,306.72000000000037,0.9811574697173622,5,6.0,126.0,initial_positive_promote_long_ext_tangent,initial_positive_promote_long_ext_tangent,,21.0,1.0,0,7,7,2.2239,1.058300524425832,19.84313483296576,0,,0,260211-3
plate2,D1,D,1,0.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,32.01666666666666,32.01666666666666,785.8999999999993,0.9991263494973477,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2882.0,1.0,0,5,5,345.260475,31.75492087850328,90.75758717921731,0,,0,260211-3
plate2,D2,D,2,5.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,27.083333333333325,27.083333333333325,971.4999999999993,0.9984713391980649,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2429.0,1.0,0,5,5,250.74472500000002,35.54398683321816,68.33786011111937,0,,0,260211-3
plate2,D3,D,3,10.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,21.913333333333327,21.913333333333327,876.9199999999996,0.9997727362106816,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1971.0,1.0,0,5,5,155.117025,11.081516141756174,177.86374849673436,0,,0,260211-3
plate2,D4,D,4,15.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,14.156190476190472,14.156190476190472,728.0152380952392,0.9993296867798828,6,6.0,156.0,initial_positive,initial_positive,,1699.0,1.0,0,5,5,85.06417499999999,18.784323082048815,90.4477628807159,0,,0,260211-3
plate2,D5,D,5,20.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,5.463030303030304,5.463030303030304,513.598441558442,0.9987450905479845,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1240.0,1.0,0,8,8,12.231449999999999,6.796513267300565,182.44649149229426,0,,0,260211-3
plate2,D6,D,6,40.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,0.3956709956709958,0.3956709956709958,271.78181818181827,0.999322218482023,21,6.0,606.0,initial_positive_ext,initial_positive_ext,,49.5,1.0,0,5,5,1.6679249999999999,1.6542393830724549,29.923117842855756,0,,0,260211-3
plate2,D7,D,7,60.0,PMBTA-7,,2-plate6.csv,True,True,False,ok,0.1504761904761894,0.1504761904761894,271.8114285714287,0.9797488226059654,6,6.0,156.0,initial_positive,initial_positive,,17.5,1.0,0,5,5,1.11195,1.108409413786904,15.78838990567131,0,,0,260211-3
plate2,E1,E,1,0.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,26.506666666666664,26.506666666666664,678.1599999999992,0.9996450023681264,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2383.0,1.0,0,5,5,205.15477499999997,16.754103974847546,142.23380752425717,0,,0,260211-3
